Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
1s2.2s2,1S,0,,0.0000,,0.0000,L9172
1s2.2s.2p,3P*,0,,21978.31,,0.08,L9172
1s2.2s.2p,3P*,1,,21978.925,,0.010,L9172
1s2.2s.2p,3P*,2,,21981.26,,0.07,L9172
1s2.2s.2p,1P*,1,,42565.4502,,0.0010,L20591
1s2.2s.3s,3S,1,,52080.943,,0.06,L9172
1s2.2s.3s,1S,0,,54677.349,,0.021,L9172
1s2.2p2,1D,2,,56882.5474,,0.021,L9172
1s2.2s.3p,3P*,1,,58907.472,,0.06,L9172
1s2.2s.3p,3P*,0,,58907.472,,0.06,L9172
1s2.2s.3p,3P*,2,,58907.839,,0.06,L9172
1s2.2p2,3P,0,,59693.60,,0.08,L9172
1s2.2p2,3P,1,,59694.99,,0.06,L9172
1s2.2p2,3P,2,,59696.98,,0.07,L9172
1s2.2s.3p,1P*,1,,60187.4434,,0.021,L9172
1s2.2s.3d,3D,1,,62053.7385,,0.06,L9172
1s2.2s.3d,3D,3,,62053.742,,0.06,L9172
1s2.2s.3d,3D,2,,62053.742,,0.06,L9172
1s2.2s.3d,1D,2,,64428.4032,,0.0005,L21345
1s2.2s.4s,3S,1,,64506.483,,0.06,L9172
1s2.2s.4s,1S,0,,65245.437,,0.021,L9172
1s2.2s.4p,3P*,1,,66811.89,,0.09,L9172
1s2.2s.4p,3P*,0,,66811.89,,0.14,L9172
1s2.2s.4p,3P*,2,,66811.89,,0.08,L9172
1s2.2s.4p,1P*,1,,67034.80,,0.03,L9172
1s2.2s.4d,3D,1,,67941.63,,0.08,L9172
1s2.2s.4d,3D,2,,67941.65,,0.07,L9172
1s2.2s.4d,3D,3,,67941.68,,0.07,L9172
1s2.2s.4f,3F*,4,,68241.04,,0.3,L9172
1s2.2s.4f,3F*,2,,68241.041,,0.06,L9172
1s2.2s.4f,3F*,3,,68241.044,,0.06,L9172
1s2.2s.4f,1F*,3,,68241.30,,0.03,L9172
1s2.2s.4d,1D,2,,68780.96,,0.07,L9172
1s2.2s.5s,3S,1,,69010.18,,0.06,L9172
1s2.2s.5s,1S,0,,69322.30,,0.07,L9172
1s2.2s.5p,3P*,0,[,70065.40,],0.10,L9172
1s2.2s.5p,3P*,2,[,70065.40,],0.14,L9172
1s2.2s.5p,3P*,1,[,70065.40,],0.14,L9172
1s2.2s.5p,1P*,1,,70120.59,,0.03,L9172
1s2.2s.5d,3D,3,,70603.73,,0.06,L9172
1s2.2s.5d,3D,1,,70603.76,,0.07,L9172
1s2.2s.5d,3D,2,,70603.76,,0.06,L9172
1s2.2s.5f,3F*,4,,70749.7,,1.1,L9172
1s2.2s.5f,3F*,2,,70749.741,,0.06,L9172
1s2.2s.5f,3F*,3,,70749.744,,0.06,L9172
1s2.2s.5f,1F*,3,,70750.02,,0.04,L9172
1s2.2s.5d,1D,2,,71002.406,,0.03,L9172
1s2.2s.6s,3S,1,,71160.514,,0.06,L9172
1s2.2s.6s,1S,0,,71321.25,,0.08,L9172
1s2.2s.6p,3P*,0,,71730.64,,0.08,L9172
1s2.2s.6p,3P*,2,,71730.66,,0.06,L9172
1s2.2s.6p,3P*,1,,71730.66,,0.06,L9172
1s2.2s.6p,1P*,1,,71746.17,,0.06,L9172
1s2.2s.6d,3D,1,,72029.49,,0.08,L9172
1s2.2s.6d,3D,2,,72029.50,,0.07,L9172
1s2.2s.6d,3D,3,,72029.51,,0.07,L9172
1s2.2s.6f,3F*,3,,72111.57,,0.06,L9172
1s2.2s.6f,3F*,2,,72111.57,,0.06,L9172
1s2.2s.6f,3F*,4,,72111.6,,1.0,L9172
1s2.2s.6f,1F*,3,,72111.75,,0.05,L9172
1s2.2s.6d,1D,2,,72251.22,,0.10,L9172
1s2.2s.7s,3S,1,,72354.7,,1.5,L9172
1s2.2s.7s,1S,0,,72448.38,,0.18,L9172
1s2.2s.7p,3P*,0,,72697.33,,0.08,L9172
1s2.2s.7p,3P*,2,,72697.34,,0.06,L9172
1s2.2s.7p,3P*,1,,72697.34,,0.07,L9172
1s2.2s.7p,1P*,1,[,72701.8,],0.5,L9172
1s2.2s.7d,3D,3,,72880.92,,0.12,L9172
1s2.2s.7d,3D,2,,72881.01,,0.13,L9172
1s2.2s.7d,3D,1,,72881.03,,0.16,L9172
1s2.2s.7f,3F*,4,,72931.6,,0.8,L9172
1s2.2s.7f,3F*,2,,72931.61,,0.07,L9172
1s2.2s.7f,3F*,3,,72931.62,,0.06,L9172
1s2.2s.7f,1F*,3,,72931.77,,0.06,L9172
