Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
4d10.5s,2S,1/2,,0.000000,,,L3466
4d10.5p,2P*,1/2,,29552.05741,,0.00014,L12037
4d10.5p,2P*,3/2,,30472.66516,,0.00022,L12037
4d9.5s2,2D,5/2,,30242.298349,,0.000006,L9025
4d9.5s2,2D,3/2,,34714.22643,,0.00010,L12037
4d10.6s,2S,1/2,,42556.147,,0.001,L17163
4d10.6p,2P*,1/2,,48297.406,,0.002,L17163
4d10.6p,2P*,3/2,,48500.8105,,0.0004,L9025
4d10.5d,2D,3/2,,48743.969,,0.002,L11755
4d10.5d,2D,5/2,,48764.219,,0.002,L11755
4d10.7s,2S,1/2,,51886.965,,0.001,L17163
4d10.7p,2P*,1/2,,54041.037,,0.002,L17163
4d10.7p,2P*,3/2,,54121.108,,0.001,L17163
4d10.6d,2D,3/2,,54203.119,,0.002,L15300
4d10.6d,2D,5/2,,54213.564,,0.003,L15300
4d10.4f,2F*,5/2,,54204.729,,0.002,L17163
4d10.4f,2F*,7/2,,54204.745,,0.003,L17163
4d10.8s,2S,1/2,,55581.246,,0.003,L15300
4d9.5s.(3D).5p,4P*,5/2,,56223.489,,0.004,L11755
4d9.5s.(3D).5p,4P*,3/2,,58504.586,,0.005,L11755
4d9.5s.(3D).5p,4P*,1/2,,60537.45,,0.10,L2489
4d10.8p,2P*,1/2,,56620.876,,0.003,L15300
4d10.8p,2P*,3/2,,56660.597,,0.003,L17163
4d10.5f,2F*,5/2,,56691.275,,0.002,L17163
4d10.5f,2F*,7/2,,56691.397,,0.002,L17163
4d10.7d,2D,3/2,,56699.832,,0.003,L17163
4d10.7d,2D,5/2,,56705.467,,0.002,L17163
4d10.5g,2G,"7/2,9/2",,56711.565,,0.003,L17163
4d10.9s,2S,1/2,,57425.078,,0.008,L11755
4d10.9p,2P*,1/2,,58005.20,,0.06,L3466
4d10.9p,2P*,3/2,,58027.10,,0.06,L3466
4d10.6f,2F*,5/2,,58041.987,,0.005,L17163
4d10.6f,2F*,7/2,,58042.063,,0.004,L17163
4d10.8d,2D,3/2,,58049.973,,0.007,L11755
4d10.8d,2D,5/2,,58053.388,,0.008,L17163
4d10.6g,2G,7/2,,58054.711,,0.004,L17163
4d10.6g,2G,9/2,,58054.713,,0.003,L17163
4d10.6h,2H*,"9/2,11/2",,58057.140,,0.004,L17163
4d10.10s,2S,1/2,,58478.051,,0.030,L17163
4d9.5s.(3D).5p,4F*,7/2,,58789.879,,0.005,L11755
4d9.5s.(3D).5p,4F*,9/2,,58902.05,,0.10,L2489
4d9.5s.(3D).5p,4F*,5/2,,59321.40,,0.15,L2489
4d9.5s.(3D).5p,4F*,3/2,,61242.25,,0.10,L2489
4d10.10p,2P*,1/2,,58834.25,,0.06,L3466
4d10.10p,2P*,3/2,,58849.83,,0.06,L3466
4d10.7f,2F*,5/2,,58854.510,,0.003,L15300
4d10.7f,2F*,7/2,,58854.755,,0.003,L15300
4d10.9d,2D,3/2,,58862.463,,0.038,L11755
4d10.9d,2D,5/2,,58864.603,,0.016,L17163
4d10.7g,2G,"7/2,9/2",,58864.644,,0.007,L17163
4d10.11s,2S,1/2,,59135.99,,0.06,L3466
4d10.10d,2D,3/2,,59388.97,,0.06,L3466
4d10.10d,2D,5/2,,59390.587,,0.018,L11755
4d10.12s,2S,1/2,,59574.56,,0.06,L3466
4d10.11d,2D,3/2,,59751.15,,0.06,L3466
4d10.11d,2D,5/2,,59751.51,,0.06,L3466
4d10.12d,2D,"3/2,5/2",,60007.6,,0.2,L3466
Ag II (4d10 1S<0>),Limit,---,,61106.45,,0.20,L11835
4d9.5s.(3D).5p,4D*,7/2,,61773.12,,0.05,L2489
4d9.5s.(3D).5p,4D*,5/2,,62181.85,,0.15,L2489
4d9.5s.(3D).5p,4D*,1/2,,64575.5,,0.4,L2489
4d9.5s.(3D).5p,4D*,3/2,,66340.7,,0.6,L2489
4d9.5s.(3D).5p,2D*,3/2,,63531.35,,0.10,L2489
4d9.5s.(3D).5p,2D*,5/2,,66972.30,,0.10,L2489
4d9.5s.(3D).5p,2F*,5/2,,64264.5,,0.3,L2489
4d9.5s.(3D).5p,2F*,7/2,,65637.75,,0.15,L2489
4d9.5s.(3D).5p,2P*,3/2,,65979.2,,1.0,L2489
4d9.5s.(3D).5p,2P*,1/2,,66033,,10,L2489
4d9.5s.(1D).5p,2P*,3/2,,72184,,20,L2489
4d9.5s.(1D).5p,2P*,1/2,,76404,,30,L2489
4d9.5s.(1D).5p,2F*,7/2,,72334.3,,0.3,L2489
4d9.5s.(1D).5p,2F*,5/2,,76810.1,,0.8,L2489
4d9.5s.(1D).5p,2D*,5/2,,73527.5,,0.8,L2489
4d9.5s.(1D).5p,2D*,3/2,,77942.3,,0.5,L2489
4d9.5s.(3D).6s,4D,7/2,,79413.0,,2.0,L2489
4d9.5s.(3D).6s,4D,5/2,,80164.0,,2.0,L2489
4d9.5s.(3D).6s,4D,3/2,,81266.4,,2.0,L2489
4d9.5s.(3D).6s,4D,1/2,,83983.0,,2.0,L2489
4d9.5s.(3D).6s,2D,5/2,,82071.1,,2.0,L2489
4d9.5s.(3D).6s,2D,3/2,,84595.0,,2.0,L2489
4d9.5s.(1D).6s,2D,5/2,,86484.6,,2.0,L2489
4d9.5s.(1D).6s,2D,3/2,,87432.3,,2.0,L2489
4d9.5s.(3D).5d,2P,3/2,,86836.2,,2.0,L2489
4d9.5s.(3D).5d,2G,9/2,,86896.1,,2.0,L2489
4d9.5s.(3D).5d,2G,7/2,,88691.9,,2.0,L2489
4d9.5s.(3D).5d,4S,3/2,,86986.3,,2.0,L2489
4d9.5s.(3D).6p,2*,,,87044.3,,1.5,L2489
4d9.5s.(3D).5d,4G,11/2,,87122.7,?,2.0,L2489
4d9.5s.(3D).5d,4G,9/2,,88593.7,,2.0,L2489
4d9.5s.(3D).5d,2D,5/2,,87143.6,,2.0,L2489
4d9.5s.(3D).5d,2D,3/2,,88833.1,,2.0,L2489
4d9.5s.(3D).5d,4P,5/2,,87221.7,,2.0,L2489
4d9.5s.(3D).5d,4P,1/2,,88443.7,,2.0,L2489
4d9.5s.(3D).5d,4P,3/2,,88546.4,,2.0,L2489
4d9.5s.(3D).5d,2F,7/2,,87227.1,?,2.0,L2489
4d9.5s.(3D).5d,2F,5/2,,88886.1,,2.0,L2489
4d9.5s.(3D).5d,4D,7/2,,87312.5,,2.0,L2489
4d9.5s.(3D).5d,4D,5/2,,88737.3,,2.0,L2489
4d9.5s.(3D).5d,4D,3/2,,91604.3,,2.0,L2489
4d9.5s.(3D).5d,4F,9/2,,87357.3,,2.0,L2489
4d9.5s.(3D).5d,4F,7/2,,88818.6,,2.0,L2489
4d9.5s.(3D).5d,4F,5/2,,91866.1,?,2.0,L2489
4d9.5s.(3D).6p,1*,,,88297.9,,1.5,L2489
4d9.5s.(3D).7s,4D,7/2,,90365.8,,2.0,L2489
4d9.5s.(3D).7s,4D,5/2,,90981.0,,2.0,L2489
4d9.5s.(3D).7s,2D,5/2,,92152.2,,2.0,L2489
4d9.5s.(1D).5d,2D,3/2,,94049.0,,2.0,L2489
