Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
4d10.5s2,1S,0,,0.000,,0.007,L3466
4d10.5s.5p,3P*,0,,30113.990,,0.002,L3486
4d10.5s.5p,3P*,1,,30656.087,,0.002,L3486
4d10.5s.5p,3P*,2,,31826.952,,0.002,L3486
4d10.5s.5p,1P*,1,,43692.384,,0.002,L3486
4d10.5s.6s,3S,1,,51483.980,,0.002,L3486
4d10.5s.6s,1S,0,,53310.101,,0.010,L3486
4d10.5s.6p,3P*,0,,58390.9,,2.5,L3466
4d10.5s.6p,3P*,1,,58461.6,,2.5,L3466
4d10.5s.6p,3P*,2,,58635.7,,2.5,L3466
4d10.5s.5d,1D,2,,59219.734,,0.002,L3486
4d10.5s.5d,3D,1,,59485.768,,0.002,L3486
4d10.5s.5d,3D,2,,59497.868,,0.002,L3486
4d10.5s.5d,3D,3,,59515.990,,0.020,L3486c197
4d10.5s.6p,1P*,1,,59907.28,,0.18,L3641
4d10.5s.7s,3S,1,,62563.435,,0.002,L3486
4d10.5s.7s,1S,0,,63086.896,,0.002,L3486
4d10.5s.7p,3P*,0,,64995.9,,2.5,L3466
4d10.5s.7p,3P*,1,,65025.5,,0.3,L9542
4d10.5s.7p,3P*,2,,65093.702,,0.016,L3486
4d10.5s.6d,1D,2,,65134.783,,0.002,L3486
4d10.5s.6d,3D,1,,65353.372,,0.002,L3486
4d10.5s.6d,3D,2,,65358.881,,0.002,L3486
4d10.5s.6d,3D,3,,65367.227,,0.020,L3486
4d10.5s.7p,1P*,1,,65501.412,,0.016,L3486
4d10.5s.4f,3F*,"2,3,4",,65586.0,,0.3,L9542
4d10.5s.8s,3S,1,,66682.029,,0.002,L3486
4d10.5s.8s,1S,0,,66905.641,,0.010,L3486
4d10.5s.8p,3P*,0,,67829.656,,0.020,L3486
4d10.5s.8p,3P*,1,,67842.06,,0.05,L3486
4d10.5s.8p,3P*,2,,67875.191,,0.016,L3486
4d10.5s.7d,1D,2,,67838.401,,0.002,L3486
4d10.5s.7d,3D,1,,67989.814,,0.002,L3486
4d10.5s.7d,3D,2,,67992.708,,0.002,L3486
4d10.5s.7d,3D,3,,67997.101,,0.020,L3486
4d10.5s.8p,1P*,1,,68059.393,,0.016,L3486
4d10.5s.5f,3F*,"2,3,4",,68093.7,,2.5,L3466
4d10.5s.9s,3S,1,,68682.325,,0.002,L3486
4d10.5s.9s,1S,0,,68798.760,,0.010,L3486
4d10.5s.8d,1D,2,,69297.084,,0.016,L3486
4d10.5s.9p,3P*,0,,69314.0,,0.3,L9542
4d10.5s.9p,3P*,1,,69320.9,,0.3,L9542
4d10.5s.9p,3P*,2,,69339.8,,0.3,L9542
4d10.5s.8d,3D,1,,69400.900,,0.020,L3486
4d10.5s.8d,3D,2,,69402.583,,0.015,L3486
4d10.5s.8d,3D,3,,69405.160,,0.020,L3486
4d10.5s.9p,1P*,1,,69439.13,,0.18,L3641
