Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5s2,1S,0,,0.000,,,L15350
5s.5p,3P*,0,,14317.507,,0.001,L15350
5s.5p,3P*,1,,14504.334,,0.003,L15350
5s.5p,3P*,2,,14898.545,,0.004,L15350
5s.4d,3D,1,,18159.040,,0.003,L15350
5s.4d,3D,2,,18218.784,,0.003,L15350
5s.4d,3D,3,,18319.261,,0.004,L15350
5s.4d,1D,2,,20149.685,,0.003,L15350
5s.5p,1P*,1,,21698.452,,0.004,L15350
5s.6s,3S,1,,29038.773,,0.004,L15350
5s.6s,1S,0,,30591.825,,0.016,L15350
4d.5p,3F*,2,,33266.851,,0.003,L15350
4d.5p,3F*,3,,33589.709,,0.007,L15350
4d.5p,3F*,4,,33919.315,,0.006,L15350
4d.5p,1D*,2,,33826.899,,0.003,L15350
5s.6p,3P*,0,,33853.490,,0.006,L15350
5s.6p,3P*,1,,33868.317,,0.006,L15350
5s.6p,3P*,2,,33973.065,,0.004,L15350
5s.6p,1P*,1,,34098.404,,0.006,L15350
5s.5d,1D,2,,34727.447,,0.005,L15350
5s.5d,3D,1,,35006.908,,0.007,L15350
5s.5d,3D,2,,35021.989,,0.012,L15350
5s.5d,3D,3,,35045.019,,0.008,L15350
5p2,3P,0,,35193.442,,0.019,L15350
5p2,3P,1,,35400.105,,0.005,L15350
5p2,3P,2,,35674.637,,0.008,L15350
4d.5p,3D*,1,,36264.151,,0.008,L15350
4d.5p,3D*,2,,36381.746,,0.008,L15350
4d.5p,3D*,3,,36559.492,,0.006,L15350
4d2,1D,2,,36960.842,,0.005,"L15350,L9352"
5p2,1S,0,,37160.234,,0.005,L15350
4d.5p,3P*,0,,37292.074,,0.007,L15350
4d.5p,3P*,1,,37302.731,,0.006,L15350
4d.5p,3P*,2,,37336.591,,0.004,L15350
5s.7s,3S,1,,37424.675,,0.005,L15350
4d.5p,1F*,3,,38007.742,,0.016,L15350
5s.7s,1S,0,,38444.013,,0.007,L15350
5s.4f,3F*,2,,38750.420,,0.007,L15350
5s.4f,3F*,3,,38752.410,,0.007,L15350
5s.4f,3F*,4,,38755.175,,0.008,L15350
5s.7p,1P*,1,,38906.858,,0.010,L15350
5s.7p,3P*,0,,39411.669,,0.008,L15350
5s.7p,3P*,1,,39426.442,,0.008,L15350
5s.7p,3P*,2,,39457.383,,0.008,L15350
5s.4f,1F*,3,,39539.013,,0.007,L15350
5s.6d,3D,1,,39685.830,,0.017,L15350
5s.6d,3D,2,,39690.802,,0.009,L15350
5s.6d,3D,3,,39703.109,,0.009,L15350
5s.6d,1D,2,,39733.067,,0.009,L15350
5s.8s,3S,1,,40761.372,,0.020,L15350
5s.8s,1S,0,,41052.324,,0.019,L15350
4d.5p,1P*,1,,41172.054,,0.014,L15350
5s.5f,3F*,2,,41364.602,,0.018,L15350
5s.5f,3F*,3,,41365.482,,0.023,L15350
