obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""263.0192""","=""0.0007""","=""263.01960""","=""0.00021""","=""36000""","=""4.2e+07""",C+,"=""5267.147""","=""43275.794""","=""6d.7s""","=""3D""","=""2""","=""5f.6d""","=""3F*""","=""3""",,"=""T10463""","=""L7344""",
"=""265.7809""","=""0.0007""","=""265.78099""","=""0.00021""","=""47000c""","=""4.61e+07""",C+,"=""7426.489""","=""45040.26""","=""6d.7s""","=""3D""","=""3""","=""5f.6d""","=""3F*""","=""4""",,"=""T10463""","=""L7344""",
"=""270.5609""","=""0.0007""","=""270.5616""","=""0.0005""","=""3300h""","=""2.1e+07""",E,"=""19202.962""","=""56152.16""","=""6d2""","=""3P""","=""2""","=""5f.6d""","=""1P*""","=""1""",,"=""T10463""","=""L7344""",
"=""271.2502""","=""0.0007""","=""271.24967""","=""0.00022""","=""27000""","=""1.8e+07""",E,"=""0.00""","=""36855.480""","=""7s2""","=""1S""","=""0""","=""6d.7p""","=""3P*""","=""1""",,"=""T10463""","=""L7344""",
"=""271.3718""","=""0.0007""","=""271.37154""","=""0.00022""","=""18000""","=""1.4e+07""",D,"=""4739.631""","=""41578.56""","=""6d.7s""","=""3D""","=""1""","=""5f.6d""","=""3F*""","=""2""",,"=""T10463""","=""L7344""",
"=""272.6232""","=""0.0007""","=""272.62268""","=""0.00016""","=""20000""","=""1.42e+07""",D+,"=""5267.147""","=""41937.021""","=""6d.7s""","=""3D""","=""2""","=""6d.7p""","=""1F*""","=""3""",,"=""T10463""","=""L7344""",
"=""272.9740""","=""0.0013""","=""272.9718""","=""0.0006""","=""5700h""","=""2.85e+08""",C+,"=""22180.533""","=""58803.51""","=""7s.7p""","=""3P*""","=""1""","=""6d.8s""","=""1D""","=""2""",,"=""T10463""","=""L7344""",
"=""275.3150""","=""0.0008""","=""275.31412""","=""0.00023""","=""6300c""","=""7.4e+06""",E,"=""5267.147""","=""41578.56""","=""6d.7s""","=""3D""","=""2""","=""5f.6d""","=""3F*""","=""2""",,"=""T10463""","=""L7344""",
"=""275.8369""","=""0.0008""","=""275.83671""","=""0.00023""","=""2500""","=""""",,"=""13236.418""","=""49479.04""","=""6d2""","=""3F""","=""2""","=""5f.6d""","=""3D*""","=""2""",,"=""""","=""L7344""",
"=""276.0180""","=""0.0013""","=""276.0161""","=""0.0004""","=""12000hl""","=""2.60e+08""",C+,"=""20956.42""","=""57175.49""","=""7s.7p""","=""3P*""","=""0""","=""7p2""","=""3P""","=""1""",,"=""T10463""","=""L7344""",
"=""278.1560""","=""0.0013""","=""278.1530""","=""0.0005""","=""7000hl""","=""4.0e+07""",C+,"=""22180.533""","=""58121.36""","=""7s.7p""","=""3P*""","=""1""","=""7s.7d""","=""3D""","=""2""",,"=""T10463""","=""L7344""",
"=""278.8640""","=""0.0008""","=""278.86319""","=""0.00023""","=""2900""","=""5.2e+06""",E,"=""7426.489""","=""43275.794""","=""6d.7s""","=""3D""","=""3""","=""5f.6d""","=""3F*""","=""3""",,"=""T10463""","=""L7344""",
"=""279.7590""","=""0.0013""","=""279.7590""","=""0.0013""","=""27000""","=""2.57e+08""",C+,"=""20848.198""","=""56582.72?""","=""6d2""","=""1G""","=""4""","=""5f.6d""","=""1H*""","=""5""",,"=""T10463""","=""L7344""",
"=""279.8050""","=""0.0013""","=""""","=""""","=""2600h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""280.6759""","=""0.0008""","=""280.67602""","=""0.00024""","=""23000""","=""3.5e+07""",C+,"=""9087.517""","=""44705.290""","=""6d.7s""","=""1D""","=""2""","=""5f.6d""","=""1D*""","=""2""",,"=""T10463""","=""L7344""",
"=""282.6270""","=""0.0013""","=""""","=""""","=""2500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""283.1560""","=""0.0013""","=""""","=""""","=""3400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
