obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
"=""76.124""","=""""","=""165""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""80.283""","=""""","=""165""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""102.196""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""108.235""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""113.940""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""114.931""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""118.151""","=""""","=""555""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""118.987""","=""""","=""555""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""119.638""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""119.656""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""120.744""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""121.117""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""121.810""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""122.315""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""124.131""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""124.308""","=""""","=""965""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""124.567""","=""""","=""870""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""125.858""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""126.377""","=""""","=""965""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""126.634""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""126.759""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""128.099""","=""""","=""715""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""128.754""","=""""","=""715""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""130.570""","=""""","=""715""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""130.774""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""133.315""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""134.155""","=""""","=""965""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""135.593""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""136.977""","=""""","=""965""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""137.365""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""137.507""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""137.578""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""139.464""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""140.031""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""144.859""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""155.888""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""157.099""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""166.055""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""186.034""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""191.294""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
"=""260.200""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""283.0359""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""283.1164""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""288.4406""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""295.9572""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""300.3819""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""311.6516""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""384.260""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""419.0082""","=""""","=""715""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""419.740""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""424.2982""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""431.5657""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""432.3867""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""433.664""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""435.2145""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""435.2864""","=""""","=""425""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""437.117""","=""""","=""375""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""442.7106""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""443.1562""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""445.8469""","=""""","=""715""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""446.1075""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""446.6348""","=""""","=""715""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""447.446""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""449.4230""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""450.7659""","=""""","=""850""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""453.974""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
