obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
170.1135,0.0005,170.11367,58784.28,4,,,143461.977,202246.199,4p5.4d,3P*,1,4p5.(2P*<3/2>).5f,2[5/2],2,3,5,,,L2590,
170.1561,0.0005,170.15610,58769.57,100,,,133341.607,192111.172,4p5.(2P*<3/2>).5s,2[3/2]*,2,4p5.(2P*<3/2>).4f,2[5/2],3,5,7,,,L2590,
170.7518,0.0005,170.75212,58564.54,200,,,143461.977,202026.405,4p5.4d,3P*,1,4p5.(2P*<3/2>).5f,2[3/2],2,3,5,,,L2590,
170.8913,0.0005,170.89150,58516.73,60,,,143461.977,201978.638,4p5.4d,3P*,1,4p5.(2P*<3/2>).5f,2[3/2],1,3,3,,,L2590,
171.0264,0.0005,171.02621,58470.51,3,,,156561.61,215032.18,4p5.4d,3D*,2,4p5.(2P*<1/2>).6f,2[7/2],3,5,7,,,L2590,
171.0320,0.0005,171.0321,58468.59,10,,,156561.61,215030.17,4p5.4d,3D*,2,4p5.(2P*<1/2>).6f,2[5/2],3,5,7,,,L2590,
171.1174,0.0005,171.11747,58439.41,15,,,133341.607,191780.993,4p5.(2P*<3/2>).5s,2[3/2]*,2,4p5.(2P*<3/2>).4f,2[3/2],2,5,5,,,L2590,
171.5551,0.0005,171.55505,58290.31,2,,,143955.871,202246.199,4p5.4d,3P*,2,4p5.(2P*<3/2>).5f,2[5/2],2,5,5,,,L2590,
171.6851,0.0005,171.68528,58246.17,600,,,143955.871,202201.982,4p5.4d,3P*,2,4p5.(2P*<3/2>).5f,2[5/2],3,5,7,,,L2590,
172.2045,0.0005,172.20437,58070.49,100,,,143955.871,202026.405,4p5.4d,3P*,2,4p5.(2P*<3/2>).5f,2[3/2],2,5,5,,,L2590,
172.3462,0.0005,172.34614,58022.75,5,,,143955.871,201978.638,4p5.4d,3P*,2,4p5.(2P*<3/2>).5f,2[3/2],1,5,3,,,L2590,
172.7112,0.0005,172.71139,57900.12,35,,,157136.88,215036.94,4p5.4d,1F*,3,4p5.(2P*<1/2>).6f,2[7/2],4,7,9,,,L2590,
172.8724,0.0010,172.8724,57846.1,1,,,155308.820,213154.95,4p5.4d,3D*,1,4p5.(2P*<3/2>).8f,2[5/2],2,3,5,,,L2590,
174.5061,0.0010,174.50631,57304.6,1,,,134869.751,192174.269,4p5.(2P*<3/2>).5s,2[3/2]*,1,4p5.(2P*<3/2>).4f,2[5/2],2,3,5,,,L2590,
175.3626,0.0005,175.36252,57024.70,65,,,145276.118,202300.847,4p5.4d,3F*,4,4p5.(2P*<3/2>).5f,2[7/2],4,9,9,,,L2590,
175.6677,0.0010,175.66707,56925.7,1,,,145276.118,202201.982,4p5.4d,3F*,4,4p5.(2P*<3/2>).5f,2[5/2],3,9,7,,,L2590,
175.7126,0.0005,175.71221,56911.12,40,,,134869.751,191780.993,4p5.(2P*<3/2>).5s,2[3/2]*,1,4p5.(2P*<3/2>).4f,2[3/2],2,3,5,,,L2590,
175.8989,0.0005,175.89841,56850.84,15,,,134869.751,191720.748,4p5.(2P*<3/2>).5s,2[3/2]*,1,4p5.(2P*<3/2>).4f,2[3/2],1,3,3,,,L2590,
176.0103,0.0005,176.00981,56814.86,15,,,145276.118,202091.132,4p5.4d,3F*,4,4p5.(2P*<3/2>).5f,2[9/2],4,9,9,,,L2590,
176.0497,0.0005,176.04976,56802.14,5000,,,145276.118,202078.24,4p5.4d,3F*,4,4p5.(2P*<3/2>).5f,2[9/2],5,9,11,,,L2590,
178.5586,0.0005,178.55850,56004.02,15,,,143461.977,199466.033,4p5.4d,3P*,1,4p5.(2P*<1/2>).4f,2[5/2],2,3,5,,,L2590,
178.6740,0.0005,178.6740,55967.85,3,,,155063.53,211031.37,4p5.4d,1D*,2,4p5.(2P*<3/2>).7f,2[7/2],3,5,7,,,L2590,
179.0104,0.0005,179.01039,55862.68,100,,,151877.03,207739.71,4p5.4d,3D*,3,4p5.(2P*<3/2>).6f,2[7/2],4,7,9,,,L2590,
179.2328,0.0005,179.23286,55793.36,30,,,151877.03,207670.37,4p5.4d,3D*,3,4p5.(2P*<3/2>).6f,2[5/2],3,7,7,,,L2590,
179.3805,0.0005,179.38056,55747.42,40,,,151877.03,207624.43,4p5.4d,3D*,3,4p5.(2P*<3/2>).6f,2[9/2],4,7,9,,,L2590,
179.4995,0.0005,179.4995,55710.46,2,,,156737.011,212447.48,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<3/2>).9d,2[7/2]*,3,5,7,,,L2590,
179.5027,0.0005,179.5027,55709.47,7,,,155308.820,211018.29,4p5.4d,3D*,1,4p5.(2P*<3/2>).7f,2[5/2],2,3,5,,,L2590,
179.7023,0.0005,,55647.59,2,,,,,,,,,,,1,1,,,L2590,
179.9628,0.0005,,55567.04,2,,,,,,,,,,,1,1,,,L2590,
180.1140,0.0005,180.1140,55520.39,4,,,156895.486,212415.88,4p5.(2P*<3/2>).5p,2[5/2],3,4p5.(2P*<3/2>).9d,2[7/2]*,4,7,9,,,L2590,
180.1472,0.0005,180.14720,55510.16,10,,,143955.871,199466.033,4p5.4d,3P*,2,4p5.(2P*<1/2>).4f,2[5/2],2,5,5,,,L2590,
180.2833,0.0005,180.28330,55468.25,65,,,146832.593,202300.847,4p5.4d,3F*,3,4p5.(2P*<3/2>).5f,2[7/2],4,7,9,,,L2590,
180.2976,0.0005,180.29767,55463.86,75,,,146832.593,202296.426,4p5.4d,3F*,3,4p5.(2P*<3/2>).5f,2[7/2],3,7,7,,,L2590,
180.3240,0.0010,180.32396,55455.7,1,,,143955.871,199411.62,4p5.4d,3P*,2,4p5.(2P*<1/2>).4f,2[7/2],3,5,7,,,L2590,
180.3468,0.0005,180.34705,55448.72,200,,,143955.871,199404.52,4p5.4d,3P*,2,4p5.(2P*<1/2>).4f,2[5/2],3,5,7,,,L2590,
180.6052,0.0005,180.60521,55369.39,25,,,146832.593,202201.982,4p5.4d,3F*,3,4p5.(2P*<3/2>).5f,2[5/2],3,7,7,,,L2590,
180.9676,0.0005,180.96751,55258.51,500,,,146832.593,202091.132,4p5.4d,3F*,3,4p5.(2P*<3/2>).5f,2[9/2],4,7,9,,,L2590,
182.0129,0.0005,182.01251,54941.16,4,,,133341.607,188282.884,4p5.(2P*<3/2>).5s,2[3/2]*,2,4p5.(2P*<3/2>).6p,2[3/2],2,5,5,,,L2590,
182.0937,0.0005,,54916.78,3,,,,,,,,,,,1,1,,,L2590,
182.3225,0.0010,182.32241,54847.9,1,,,154273.980,209121.874,4p5.(2P*<3/2>).5p,2[1/2],1,4p5.(2P*<3/2>).9s,2[3/2]*,2,3,5,,,L2590,
183.4799,0.0010,183.47937,54501.9,1,,,155063.53,209565.57,4p5.4d,1D*,2,4p5.(2P*<1/2>).5f,2[5/2],2,5,5,,,L2590,
183.4993,0.0005,183.49913,54496.12,20,,,134869.751,189365.923,4p5.(2P*<3/2>).5s,2[3/2]*,1,4p5.(2P*<3/2>).6p,2[1/2],0,3,1,,,L2590,
183.6243,0.0005,183.62401,54459.02,100,,,155063.53,209522.64,4p5.4d,1D*,2,4p5.(2P*<1/2>).5f,2[7/2],3,5,7,,,L2590,
183.6383,0.0005,183.63810,54454.87,15,,,155063.53,209518.46,4p5.4d,1D*,2,4p5.(2P*<1/2>).5f,2[5/2],3,5,7,,,L2590,
183.7067,0.0005,183.7066,54434.60,2,,,156561.61,210996.25,4p5.4d,3D*,2,4p5.(2P*<3/2>).7f,2[5/2],3,5,7,,,L2590,
184.0619,0.0010,184.06152,54329.5,1,,,133341.607,187671.267,4p5.(2P*<3/2>).5s,2[3/2]*,2,4p5.(2P*<3/2>).6p,2[5/2],3,5,7,,,L2590,
184.3091,0.0005,184.30886,54256.68,50,,,155308.820,209565.57,4p5.4d,3D*,1,4p5.(2P*<1/2>).5f,2[5/2],2,3,5,,,L2590,
186.4372,0.0005,186.43734,53637.36,20,,,133341.607,186978.932,4p5.(2P*<3/2>).5s,2[3/2]*,2,4p5.(2P*<3/2>).6p,2[1/2],1,5,3,,,L2590,
186.5334,0.0005,186.53337,53609.70,500,,,148686.714,202296.426,4p5.4d,3F*,2,4p5.(2P*<3/2>).5f,2[7/2],3,5,7,,,L2590,
186.7080,0.0005,186.70829,53559.57,50,,,148686.714,202246.199,4p5.4d,3F*,2,4p5.(2P*<3/2>).5f,2[5/2],2,5,5,,,L2590,
