obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
206.787,,48358.9,7800,,,,,,,L3475,
207.133,,48278.1,4200,,,,,,,L3475,
219.508,,45556.5,840,,,,,,,L3475,
225.655,,44315.5,2000,,,,,,,L3475,
228.296,,43802.7,1400,,,,,,,L3475,
231.446,,43206.6,190,,,,,,,L3475,
233.752,,42780.4,720,,,,,,,L3475,
235.095,,42536.0,230,,,,,,,L3475,
235.600,,42444.8,120,,,,,,,L3475,
236.807,,42228.4,500,,,,,,,L3475,
237.579,,42091.4,95,,,,,,,L3475,
240.581,,41566.0,95,,,,,,,L3475,
242.076,,41309.4,95,,,,,,,L3475,
242.381,,41257.4,200,,,,,,,L3475,
242.476,,41241.3,70,,,,,,,L3475,
242.864,,41175.4,70,,,,,,,L3475,
245.565,,40722.4,110,,,,,,,L3475,
246.965,,40491.6,110,,,,,,,L3475,
248.699,,40209.2,530,,,,,,,L3475,
250.794,,39873.4,35,,,,,,,L3475,
251.047,,39833.2,70,,,,,,,L3475,
253.876,,39389.3,780,,,,,,,L3475,
254.960,,39221.9,30,,,,,,,L3475,
256.393,,39002.6,190,,,,,,,L3475,
257.909,,38773.3,150,,,,,,,L3475,
258.080,,38747.6,130,,,,,,,L3475,
259.678,,38509.3,170,,,,,,,L3475,
263.200,,37993.9,27,,,,,,,L3475,
266.508,,37522.3,40,,,,,,,L3475,
273.217,,36601.0,40,,,,,,,L3475,
278.470,,35910.5,40,,,,,,,L3475,
286.421,,34913.6,35,,,,,,,L3475,
288.023,,34719.4,35,,,,,,,L3475,
288.104,,34709.6,30,,,,,,,L3475,
304.363,,32855.6,120,,,,,,,L3475,
317.485,,31497.6,180,,,,,,,L3475,
321.424,,31111.6,150,,,,,,,L3475,
360.551,,27735.3,95,,,,,,,L3475,
