obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
520.72866,0.00010,520.72867,19203.859,15,,,100317.976,119521.835,4s2.4f,2F*,5/2,4s2.7g,2G,7/2,6,8,,,L3335,
552.4523,0.0005,552.4522,18101.110,15,,,101244.635,119345.75,4s2.6p,2P*,3/2,4s2.8d,2D,5/2,4,6,,,L3335,
589.50218,0.00010,589.50217,16963.466,1000,9.2e+07,D,62403.028,79366.494,4s2.5s,2S,1/2,4s2.5p,2P*,3/2,2,4,,T4515,L3335,
602.27088,0.00010,602.27086,16603.824,500,8.4e+07,D,62403.028,79006.853,4s2.5s,2S,1/2,4s2.5p,2P*,1/2,2,2,,T4515,L3335,
608.0077,0.0005,608.003,16447.161,150,,,124732.4,141179.70,4s.4p.(3P*).5s,4P*,5/2,4s.4p.(3P*).5p,4D,7/2,6,8,,,L3335,
626.8874,0.0005,626.8869,15951.827,50,,,100089.970,116041.81,4s2.5d,2D,3/2,4s2.6f,2F*,5/2,4,6,,,L3335,
626.9800,0.0005,626.9802,15949.473,150,,,100317.283,116266.75,4s2.4f,2F*,7/2,4s2.6g,2G,9/2,8,10,,,L3335,
627.0078,0.0005,627.0074,15948.765,100,,,100317.976,116266.75,4s2.4f,2F*,5/2,4s2.6g,2G,7/2,6,8,,,L3335,
628.51897,0.00010,628.51896,15910.419,75,,,100130.812,116041.231,4s2.5d,2D,5/2,4s2.6f,2F*,7/2,6,8,,,L3335,
633.81286,0.00010,633.81285,15777.528,100,4.4e+07,D,79006.853,94784.381,4s2.5p,2P*,1/2,4s2.6s,2S,1/2,2,2,,T4515,L3335,
648.59729,0.00010,648.59731,15417.887,100,8.5e+07,D,79366.494,94784.381,4s2.5p,2P*,3/2,4s2.6s,2S,1/2,4,2,,T4515,L3335,
678.238,0.005,678.2358,14744.08,50,,,101244.635,115988.77,4s2.6p,2P*,3/2,4s2.7d,2D,5/2,4,6,,,L3335,
696.82423,0.00010,696.82420,14350.821,20,,,65015.672,79366.494,4s.4p2,2D,3/2,4s2.5p,2P*,3/2,4,4,,,L3335,
705.13132,0.00010,705.13130,14181.756,50,,,65184.738,79366.494,4s.4p2,2D,5/2,4s2.5p,2P*,3/2,6,4,,,L3335,
714.73596,0.00010,714.73595,13991.181,30,,,65015.672,79006.853,4s.4p2,2D,3/2,4s2.5p,2P*,1/2,4,2,,,L3335,
947.75919,0.00020,947.75923,10551.203,20,,,100317.283,110868.486,4s2.4f,2F*,7/2,4s2.5g,2G,9/2,8,10,,,L3335,
947.82448,0.00020,947.82444,10550.477,20,,,100317.976,110868.453,4s2.4f,2F*,5/2,4s2.5g,2G,7/2,6,8,,,L3335,
