obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
201.576,,49609.1,19000,,,,,,,L3475,
202.095,,49481.6,40000,,,,,,,L3475,
203.909,,49041.4,21000,,,,,,,L3475,
204.664,,48860.7,17000,,,,,,,L3475,
208.234,,48022.8,4800,,,,,,,L3475,
209.018,,47842.7,2400,,,,,,,L3475,
209.317,,47774.5,2200,,,,,,,L3475,
209.378,,47760.6,4000,,,,,,,L3475,
210.151,,47584.9,2700,,,,,,,L3475,
210.496,,47506.9,1500,,,,,,,L3475,
210.869,,47422.8,1400,,,,,,,L3475,
227.039,,44045.3,400,,,,,,,L3475,
230.496,,43384.7,160,,,,,,,L3475,
230.768,,43333.6,160,,,,,,,L3475,
233.284,,42866.3,110,,,,,,,L3475,
234.231,,42692.9,190,,,,,,,L3475,
235.614,,42442.3,80,,,,,,,L3475,
236.681,,42250.9,50,,,,,,,L3475,
238.993,,41842.3,110,,,,,,,L3475,
240.434,,41591.4,140,,,,,,,L3475,
240.539,,41573.3,80,,,,,,,L3475,
241.357,,41432.3,40,,,,,,,L3475,
241.374,,41429.4,120,,,,,,,L3475,
241.869,,41344.6,80,,,,,,,L3475,
241.974,,41326.7,65,,,,,,,L3475,
242.092,,41306.7,80,,,,,,,L3475,
242.474,,41241.6,70,,,,,,,L3475,
243.670,,41039.1,65,,,,,,,L3475,
244.102,,40966.5,65,,,,,,,L3475,
246.255,,40608.2,40,,,,,,,L3475,
246.743,,40528.1,50,,,,,,,L3475,
246.772,,40523.3,50,,,,,,,L3475,
246.953,,40493.6,50,,,,,,,L3475,
247.079,,40472.9,30,,,,,,,L3475,
247.832,,40349.9,70,,,,,,,L3475,
248.332,,40268.7,65,,,,,,,L3475,
248.550,,40233.4,40,,,,,,,L3475,
249.699,,40048.2,24,,,,,,,L3475,
249.903,,40015.5,85,,,,,,,L3475,
250.119,,39980.9,40,,,,,,,L3475,
250.359,,39942.6,65,,,,,,,L3475,
251.256,,39800.1,50,,,,,,,L3475,
251.584,,39748.2,65,,,,,,,L3475,
252.790,,39558.5,70,,,,,,,L3475,
253.110,,39508.5,50,,,,,,,L3475,
253.307,,39477.8,70,,,,,,,L3475,
253.922,,39382.1,440,,,,,,,L3475,
254.020,,39366.9,50,,,,,,,L3475,
254.343,,39316.9,330,,,,,,,L3475,
254.437,,39302.4,40,,,,,,,L3475,
255.619,,39120.8,65,,,,,,,L3475,
255.752,,39100.4,40,,,,,,,L3475,
255.965,,39067.9,80,,,,,,,L3475,
256.285,,39019.1,65,,,,,,,L3475,
256.511,,38984.7,85,,,,,,,L3475,
256.703,,38955.5,40,,,,,,,L3475,
257.222,,38876.9,20,,,,,,,L3475,
257.519,,38832.1,50,,,,,,,L3475,
257.733,,38799.8,40,,,,,,,L3475,
257.913,,38772.7,40,,,,,,,L3475,
258.672,,38658.9,30,,,,,,,L3475,
258.955,,38616.7,65,,,,,,,L3475,
259.255,,38572.1,40,,,,,,,L3475,
259.448,,38543.4,250,,,,,,,L3475,
259.816,,38488.8,40,,,,,,,L3475,
260.358,,38408.7,250,,,,,,,L3475,
260.586,,38375.1,40,,,,,,,L3475,
260.671,,38362.6,40,,,,,,,L3475,
262.012,,38166.2,70,,,,,,,L3475,
263.746,,37915.3,330,,,,,,,L3475,
263.955,,37885.3,720,,,,,,,L3475,
264.514,,37805.2,600,,,,,,,L3475,
264.728,,37774.6,370,,,,,,,L3475,
265.414,,37677.0,480,,,,,,,L3475,
266.137,,37574.6,640,,,,,,,L3475,
267.262,,37416.4,55,,,,,,,L3475,
267.363,,37402.3,720,,,,,,,L3475,
267.406,,37396.3,250,,,,,,,L3475,
268.216,,37283.4,95,,,,,,,L3475,
268.403,,37257.4,640,,,,,,,L3475,
268.494,,37244.8,880,,,,,,,L3475,
268.879,,37191.5,560,,,,,,,L3475,
269.341,,37127.7,30,,,,,,,L3475,
269.602,,37091.7,55,,,,,,,L3475,
269.763,,37069.6,30,,,,,,,L3475,
270.021,,37034.1,55,,,,,,,L3475,
270.222,,37006.6,480,,,,,,,L3475,
270.267,,37000.4,30,,,,,,,L3475,
270.573,,36958.6,30,,,,,,,L3475,
271.099,,36886.8,40,,,,,,,L3475,
271.229,,36869.2,30,,,,,,,L3475,
271.315,,36857.5,50,,,,,,,L3475,
271.431,,36841.7,190,,,,,,,L3475,
271.816,,36789.7,290,,,,,,,L3475,
272.778,,36659.9,85,,,,,,,L3475,
273.049,,36623.5,140,,,,,,,L3475,
273.101,,36616.5,80,,,,,,,L3475,
273.369,,36580.6,330,,,,,,,L3475,
273.777,,36526.1,160,,,,,,,L3475,
273.869,,36513.8,80w,,,,,,,L3475,
273.941,,36504.2,50,,,,,,,L3475,
274.213,,36468.0,40,,,,,,,L3475,
274.243,,36464.0,55,,,,,,,L3475,
274.711,,36401.9,290,,,,,,,L3475,
275.688,,36272.8,110,,,,,,,L3475,
275.945,,36239.2,65bl,,,,,,,L3475,
276.135,,36214.2,20,,,,,,,L3475,
276.444,,36173.7,220,,,,,,,L3475,
277.058,,36093.6,240,,,,,,,L3475,
277.460,,36041.2,160,,,,,,,L3475,
277.521,,36033.3,190,,,,,,,L3475,
277.622,,36020.2,1700,,,,,,,L3475,
277.868,,35988.3,65,,,,,,,L3475,
278.086,,35960.1,880,,,,,,,L3475,
278.581,,35896.2,400,,,,,,,L3475,
279.236,,35812.0,40,,,,,,,L3475,
280.859,,35605.1,400,,,,,,,L3475,
281.341,,35544.1,28,,,,,,,L3475,
281.550,,35517.7,24,,,,,,,L3475,
281.698,,35499.0,1700,,,,,,,L3475,
281.827,,35482.8,220,,,,,,,L3475,
282.286,,35425.1,50,,,,,,,L3475,
282.857,,35353.5,80,,,,,,,L3475,
283.227,,35307.3,40,,,,,,,L3475,
283.290,,35299.5,30,,,,,,,L3475,
283.522,,35270.6,80,,,,,,,L3475,
283.616,,35258.9,80,,,,,,,L3475,
284.299,,35174.3,160,,,,,,,L3475,
284.457,,35154.7,24,,,,,,,L3475,
284.907,,35099.2,1700,,,,,,,L3475,
285.407,,35037.7,370,,,,,,,L3475,
285.684,,35003.7,50,,,,,,,L3475,
286.404,,34915.7,24,,,,,,,L3475,
286.465,,34908.3,370,,,,,,,L3475,
286.646,,34886.2,40,,,,,,,L3475,
286.753,,34873.2,220,,,,,,,L3475,
286.895,,34855.9,40,,,,,,,L3475,
286.916,,34853.4,40,,,,,,,L3475,
287.235,,34814.7,1700,,,,,,,L3475,
287.372,,34798.1,85,,,,,,,L3475,
287.989,,34723.5,220,,,,,,,L3475,
288.900,,34614.1,65,,,,,,,L3475,
289.184,,34580.1,1300,,,,,,,L3475,
289.213,,34576.6,95,,,,,,,L3475,
289.366,,34558.3,190,,,,,,,L3475,
289.530,,34538.8,950,,,,,,,L3475,
289.848,,34500.9,140,,,,,,,L3475,
290.165,,34463.1,70,,,,,,,L3475,
290.392,,34436.2,290,,,,,,,L3475,
290.797,,34388.2,80,,,,,,,L3475,
290.997,,34364.6,600,,,,,,,L3475,
291.277,,34331.5,1100,,,,,,,L3475,
291.466,,34309.3,55,,,,,,,L3475,
291.968,,34250.3,120,,,,,,,L3475,
292.425,,34196.9,1300,,,,,,,L3475,
292.518,,34186.0,140,,,,,,,L3475,
292.840,,34148.4,65,,,,,,,L3475,
293.092,,34119.0,50,,,,,,,L3475,
293.136,,34113.9,1100,,,,,,,L3475,
293.163,,34110.7,55,,,,,,,L3475,
293.516,,34069.7,800,,,,,,,L3475,
293.606,,34059.3,65,,,,,,,L3475,
293.916,,34023.3,40,,,,,,,L3475,
294.096,,34002.5,95,,,,,,,L3475,
294.208,,33989.6,110,,,,,,,L3475,
294.568,,33948.0,150,,,,,,,L3475,
294.681,,33935.0,,,,,,,,L3475,
294.755,,33926.5,140,,,,,,,L3475,
294.814,,33919.7,95,,,,,,,L3475,
295.670,,33821.4,95,,,,,,,L3475,
295.692,,33818.9,240,,,,,,,L3475,
295.776,,33809.3,70,,,,,,,L3475,
296.110,,33771.2,95,,,,,,,L3475,
296.466,,33730.7,250,,,,,,,L3475,
296.583,,33717.4,50,,,,,,,L3475,
296.614,,33713.9,210,,,,,,,L3475,
297.278,,33638.6,70,,,,,,,L3475,
297.348,,33630.7,250,,,,,,,L3475,
297.627,,33599.1,80,,,,,,,L3475,
299.371,,33403.3,95,,,,,,,L3475,
299.439,,33395.7,50,,,,,,,L3475,
300.534,,33274.2,40,,,,,,,L3475,
302.865,,33018.0,95,,,,,,,L3475,
306.167,,32661.9,100,,,,,,,L3475,
306.593,,32616.5,250,,,,,,,L3475,
307.855,,32482.8,85,,,,,,,L3475,
308.852,,32378.0,270,,,,,,,L3475,
309.297,,32331.4,190,,,,,,,L3475,
312.291,,32021.5,290,,,,,,,L3475,
313.963,,31850.9,110,,,,,,,L3475,
315.373,,31708.5,220,,,,,,,L3475,
315.655,,31680.1,55,,,,,,,L3475,
317.295,,31516.4,95,,,,,,,L3475,
317.366,,31509.4,160,,,,,,,L3475,
318.851,,31362.6,120bl,,,,,,,L3475,
320.243,,31226.3,40,,,,,,,L3475,
324.165,,30848.5,65,,,,,,,L3475,
329.326,,30365.1,190,,,,,,,L3475,
331.457,,30169.8,100,,,,,,,L3475,
332.186,,30103.7,190,,,,,,,L3475,
334.736,,29874.3,95,,,,,,,L3475,
339.633,,29443.5,130,,,,,,,L3475,
344.707,,29010.2,130,,,,,,,L3475,
363.618,,27501.4,28,,,,,,,L3475,
368.527,,27135.1,45,,,,,,,L3475,
368.936,,27105.0,65,,,,,,,L3475,
369.369,,27073.2,180,,,,,,,L3475,
374.543,,26699.2,80,,,,,,,L3475,
394.260,,25364.0,65,,,,,,,L3475,
