obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
402.6538,0.0015,402.6536,0.0010,24835.23,29,,,26391.28,51226.52,5d7.(2D2).6s,3D,3,5d7.(4F<7/2>).6p,"(7/2,1/2)*",3,7,7,,,"L4457,L18358",
404.255,0.003,404.2522,0.0018,24736.85,45,,,22266.92,47003.95,5d7.(2H).6s,3H,6,5d7.(4F<9/2>).6p,"(9/2,1/2)*",5,13,11,,,"L4457,L18358",
404.6035,0.0010,404.6054,0.0008,24715.56,7,,,31518.49,56233.93,5d7.(2F).6s,3F,3,5d7.(4F<9/2>).6p,"(9/2,3/2)*",4,7,9,,,"L4457,L7593",
410.946,0.003,410.9475,0.0012,24334.10,48,,,31518.49,55852.50,5d7.(2F).6s,3F,3,5d7.(4F<5/2>).6p,"(5/2,1/2)*",3,7,7,,,L4457,
411.8375,0.0010,411.8370,0.0008,24281.42,3,,,20294.25,44575.70,5d7.(2G).6s,3G,4,5d7.(4F<9/2>).6p,"(9/2,1/2)*",4,9,9,,,"L4457,L7593",
413.004,0.003,413.0076,0.0017,24212.81,17,,,36160.60,60373.23,5d7.(2P).6s,3P,2,5d7.(4P<1/2>).6p,"(1/2,1/2)*",1,5,3,,,L4457,
414.022,0.003,414.0267,0.0015,24153.32,21,,,36160.60,60313.63,5d7.(2P).6s,3P,2,5d7.(4F<9/2>).6p,"(9/2,3/2)*",3,5,7,,,"L4457,L18358",
439.146,0.003,439.1429,0.0013,22771.45,4,2.2e+05,E,28600.34,51371.97,5d6.6s2,5D,1,5d7.(4P<5/2>).6p,"(5/2,1/2)*",2,3,5,,T7959,"L4457,L18358",
443.5153,0.0020,443.5133,0.0012,22547.14,6bl(Ir I),,,31518.49,54065.73,5d7.(2F).6s,3F,3,5d6.6s.(6D<7/2>).6p,"(7/2,1/2)*",3,7,7,,,"L4457,L7593",
454.6954,0.0020,454.6947,0.0014,21992.74,1bl(Ir I),,,25011.17,47003.95,5d7.(2H).6s,3H,5,5d7.(4F<9/2>).6p,"(9/2,1/2)*",5,11,11,,,"L4457,L7593",
461.3068,0.0020,461.3044,0.0013,21677.55,1bl(Ir I)?,,,31518.49,53196.15,5d7.(2F).6s,3F,3,5d7.(4P<5/2>).6p,"(5/2,1/2)*",3,7,7,,,"L4457,L7593",
467.719,0.003,467.7153,0.0013,21380.36,5,,,23195.17,44575.70,5d7.(2G).6s,3G,3,5d7.(4F<9/2>).6p,"(9/2,1/2)*",4,7,9,,,L4457,
479.6587,0.0020,479.6602,0.0012,20848.16,1bl(Ir I)?,,,23727.61,44575.70,5d6.6s2,5D,3,5d7.(4F<9/2>).6p,"(9/2,1/2)*",4,7,9,,,"L4457,L7593",
