obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
415.18597,0.00007,415.18603,0.00005,24085.592,180,,,279422.869,303508.458,2s2.2p4.(3P).3d,4D,1/2,2s2.2p4.(3P<1>).4f,2[2]*,3/2,2,4,,,L5951,
418.783,0.004,418.78417,0.00005,23878.72,40w,,,252798.4654,276677.1142,2s2.2p4.(3P).3p,2S*,1/2,2s2.2p4.(1S).3s,2S,1/2,2,2,,,L1406,
420.6781,0.0003,420.67777,0.00007,23771.146,80,,,279218.6416,302989.805,2s2.2p4.(3P).3d,4D,5/2,2s2.2p4.(3P<2>).4f,2[1]*,3/2,6,4,,,L1406,
420.7686,0.0003,420.76864,0.00005,23766.032,100,,,279137.6053,302903.635,2s2.2p4.(3P).3d,4D,7/2,2s2.2p4.(3P<2>).4f,2[2]*,5/2,8,6,,,L1406,
,,421.82560,0.00006,23706.480,,7.4e+06,D,279137.6053,302844.085,2s2.2p4.(3P).3d,4D,7/2,2s2.2p4.(3P<2>).4f,2[3]*,5/2,8,6,,"T1115CA,LS",,
421.83581,0.00009,421.83585,0.00005,23705.906,180,,,279137.6053,302843.509,2s2.2p4.(3P).3d,4D,7/2,2s2.2p4.(3P<2>).4f,2[3]*,7/2,8,8,,,L9088,
422.0555,0.0003,422.05542,0.00005,23693.564,160,3.3e+07,D,279137.6053,302831.176,2s2.2p4.(3P).3d,4D,7/2,2s2.2p4.(3P<2>).4f,2[4]*,7/2,8,8,,"T1115CA,LS",L1406,
422.09337,0.00004,422.09338,0.00004,23691.4404,300,,,279137.6053,302829.0453,2s2.2p4.(3P).3d,4D,7/2,2s2.2p4.(3P<2>).4f,2[4]*,9/2,8,10,,,L9088,
422.20823,0.00010,422.20827,0.00005,23684.995,180,,,279218.6416,302903.635,2s2.2p4.(3P).3d,4D,5/2,2s2.2p4.(3P<2>).4f,2[2]*,5/2,6,6,,,L9088,
422.2275,0.0003,422.22748,0.00007,23683.915,120,1.4e+07,D,279218.6416,302902.557,2s2.2p4.(3P).3d,4D,5/2,2s2.2p4.(3P<2>).4f,2[2]*,3/2,6,4,,"T1115CA,LS",L1406,
422.5663,0.0003,422.56619,0.00007,23664.927,100,,,279324.8733,302989.805,2s2.2p4.(3P).3d,4D,3/2,2s2.2p4.(3P<2>).4f,2[1]*,3/2,4,4,,,L1406,
422.5831,0.0003,422.58308,0.00016,23663.986,120,1.9e+07,D,279324.8733,302988.859,2s2.2p4.(3P).3d,4D,3/2,2s2.2p4.(3P<2>).4f,2[1]*,1/2,4,2,,"T1115CA,LS",L1406,
,,422.81105,0.00004,23651.2265,,7.3e+05,D,280172.9854,303824.2119,2s2.2p4.(3P).3d,4F,9/2,2s2.2p4.(3P<0>).4f,2[3]*,7/2,10,8,,"T1115CA,LS",,
423.27248,0.00007,423.27248,0.00006,23625.443,160bl,2.2e+07,D,279218.6416,302844.085,2s2.2p4.(3P).3d,4D,5/2,2s2.2p4.(3P<2>).4f,2[3]*,5/2,6,6,,"T1115CA,LS",L5951,
423.28278,0.00006,423.28280,0.00006,23624.868,180bl,,,279218.6416,302843.509,2s2.2p4.(3P).3d,4D,5/2,2s2.2p4.(3P<2>).4f,2[3]*,7/2,6,8,,,L9088,
423.50388,0.00006,423.50388,0.00006,23612.534,200,5.5e+06,D,279218.6416,302831.176,2s2.2p4.(3P).3d,4D,5/2,2s2.2p4.(3P<2>).4f,2[4]*,7/2,6,8,,"T1115CA,LS",L9088,
424.11128,0.00018,424.11048,0.00006,23578.717,160,1.5e+07,D,279324.8733,302903.635,2s2.2p4.(3P).3d,4D,3/2,2s2.2p4.(3P<2>).4f,2[2]*,5/2,4,6,,"T1115CA,LS",L5951,
424.12988,0.00007,424.12987,0.00007,23577.683,180,,,279324.8733,302902.557,2s2.2p4.(3P).3d,4D,3/2,2s2.2p4.(3P<2>).4f,2[2]*,3/2,4,4,,,L5951,
424.3232,0.0020,424.32330,0.00007,23566.94,60,,,279422.869,302989.805,2s2.2p4.(3P).3d,4D,1/2,2s2.2p4.(3P<2>).4f,2[1]*,3/2,2,4,,,L1406,
