obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,469.9498,21278.87,,8.4e+05,E,103667.86,124946.73,3s2.3p.4p,3D,3,3s2.3p.4d,3F*,2,7,5,,"T1619CA,LS",,
,473.7875,21106.51,,6.3e-03,D,469.12,21575.63,3s2.3p2,3P,2,3s2.3p2,1S,0,5,1,E2,T761,,
,482.5044,20725.20,,7.5e+05,E,103165.61,123890.81,3s2.3p.4p,3D,1,3s2.3p.5s,3P*,2,3,5,,"T1619CA,LS",,
486.578,486.5785,20551.7,200,1.1e+07,D,103339.14,123890.81,3s2.3p.4p,3D,2,3s2.3p.5s,3P*,2,5,5,,"T1619CA,LS",L3986,
492.858,492.8573,20289.8,150,1.9e+07,D,103165.61,123455.46,3s2.3p.4p,3D,1,3s2.3p.5s,3P*,1,3,3,,"T1619CA,LS",L3986,
,493.7009,20255.18,,6.3e+07,D,111507.66,131762.84,3s2.3p.4p,1S,0,3s2.3p.4d,1P*,1,1,3,,T1619CA,,
494.491,494.4877,20222.8,500,6.3e+07,D,103667.86,123890.81,3s2.3p.4p,3D,3,3s2.3p.5s,3P*,2,7,5,,"T1619CA,LS",L3986,
495.577,495.5750,20178.5,300,7.8e+07,D,103165.61,123344.19,3s2.3p.4p,3D,1,3s2.3p.5s,3P*,0,3,1,,"T1619CA,LS",L3986,
497.110,497.1088,20116.3,300,5.8e+07,D,103339.14,123455.46,3s2.3p.4p,3D,2,3s2.3p.5s,3P*,1,5,3,,"T1619CA,LS",L3986,
,504.2211,19832.57,,4.0e+07,D,107922.93,127755.50,3s2.3p.4p,1D,2,3s2.3p.4d,1D*,2,5,5,,T1619CA,,
,515.3656,19403.70,,1.2e+07,D,86597.55,106001.25,3s2.3p.4s,3P*,0,3s2.3p.4p,3S,1,1,3,,"T1619CA,LS",,
519.286,519.2839,19257.2,150,3.5e+07,D,86743.96,106001.25,3s2.3p.4s,3P*,1,3s2.3p.4p,3S,1,3,3,,"T1619CA,LS",L3986,
525.498,525.4941,19029.6,300,1.0e+08,D,88893.22,107922.93,3s2.3p.4s,1P*,1,3s2.3p.4p,1D,2,3,5,,T1619CA,L3986,
529.760,529.7550,18876.5,400,5.5e+07,D,87124.60,106001.25,3s2.3p.4s,3P*,2,3s2.3p.4p,3S,1,5,3,,"T1619CA,LS",L3986,
531.755,531.7534,18805.7,250,2.4e+07,D,86743.96,105549.67,3s2.3p.4s,3P*,1,3s2.3p.4p,3P,2,3,5,,"T1619CA,LS",L3986,
534.624,534.6216,18704.7,300,3.2e+07,D,86597.55,105302.37,3s2.3p.4s,3P*,0,3s2.3p.4p,3P,1,1,3,,"T1619CA,LS",L3986,
