obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""323.9319""","=""0.0020""","=""323.9338""","=""0.0006""","=""10""","=""""",,"=""46046.461""","=""76908.06""","=""5d7.6s2""","=""4P""","=""1/2""","=""5d7.6s.6p""","=""76908*""","=""1/2""",,"=""""","=""L11529,L9479""",
"=""324.3704""","=""0.0020""","=""324.36811""","=""0.00009""","=""120*""","=""""",,"=""32918.605""","=""63738.884""","=""5d8.6s""","=""2D""","=""5/2""","=""5d8.(3F).6p""","=""(3,1/2)*""","=""7/2""",,"=""""","=""L11529""",
"=""324.3704""","=""0.0020""","=""324.37056""","=""0.00007""","=""120*""","=""""",,"=""70379.088""","=""101199.134""","=""5d8.(3P).6p""","=""(1,3/2)*""","=""5/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""326.2531""","=""0.0020""","=""326.25333""","=""0.00019""","=""27""","=""""",,"=""74745.974""","=""105388.167""","=""5d8.6p""","=""74745*""","=""7/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""9/2""",,"=""""","=""L11529""",
"=""326.3919""","=""0.0020""","=""326.3902""","=""0.0004""","=""6""","=""""",,"=""64003.938""","=""94633.282""","=""5d7.6s2""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""94633*""","=""5/2""",,"=""""","=""L11529""",
"=""326.6019""","=""0.0020""","=""326.60033""","=""0.00013""","=""170""","=""""",,"=""75184.933""","=""105794.571""","=""5d8.(1G).6p""","=""(4,1/2)*""","=""7/2""","=""5d8.(3F).7s""","=""(3,1/2)""","=""7/2""",,"=""""","=""L11529""",
"=""326.9712""","=""0.0020""","=""326.9726""","=""0.0004""","=""30""","=""""",,"=""79683.43""","=""110258.220""","=""5d7.(4P).6s.6p.(3P*)""","=""79683*""","=""1/2""","=""5d8.(3F).7s""","=""(2,1/2)""","=""3/2""",,"=""""","=""L11529""",
"=""327.3559""","=""0.0020""","=""327.35226""","=""0.00019""","=""3""","=""""",,"=""79607.522""","=""110146.852""","=""5d7.6s.6p""","=""79607*""","=""5/2""","=""5d8.(3P).6d""","=""(2,5/2)""","=""7/2""",,"=""""","=""L11529""",
"=""328.1240""","=""0.0020""","=""328.12154""","=""0.00015""","=""14*""","=""""",,"=""74619.157""","=""105086.890""","=""5d8.6p""","=""74619*""","=""5/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""7/2""",,"=""""","=""L11529""",
"=""328.1240""","=""0.0020""","=""328.1238""","=""0.0005""","=""14*""","=""""",,"=""88589.58""","=""119057.10""","=""5d7.(4P).6s.6p.(3P*)""","=""88589*""","=""7/2""","=""""","=""119057""","=""5/2""",,"=""""","=""L11529""",
"=""328.5401""","=""0.0020""","=""328.54269""","=""0.00011""","=""5""","=""""",,"=""75365.892""","=""105794.571""","=""5d7.6s.6p""","=""75365*""","=""5/2""","=""5d8.(3F).7s""","=""(3,1/2)""","=""7/2""",,"=""""","=""L11529""",
"=""328.6809""","=""0.0020""","=""328.68133""","=""0.00014""","=""7""","=""""",,"=""79092.198""","=""109508.042""","=""5d8.(3P).6p""","=""79092*""","=""3/2""","=""5d8.(3P).6d""","=""(2,3/2)""","=""1/2""",,"=""""","=""L11529""",
"=""329.3500""","=""0.0020""","=""329.3514""","=""0.0004""","=""6""","=""""",,"=""74409.511""","=""104763.48""","=""5d7.(4F).6s.6p.(3P*)""","=""(9/2,2)*""","=""11/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""13/2""",,"=""""","=""L11529""",
"=""329.4921""","=""0.0020""","=""329.49305""","=""0.00014""","=""20""","=""""",,"=""74745.974""","=""105086.890""","=""5d8.6p""","=""74745*""","=""7/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""7/2""",,"=""""","=""L11529""",
"=""329.8150""","=""0.0020""","=""329.81658""","=""0.00023""","=""20""","=""""",,"=""74619.157""","=""104930.311""","=""5d8.6p""","=""74619*""","=""5/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""3/2""",,"=""""","=""L11529""",
"=""330.9949""","=""0.0020""","=""330.99510""","=""0.00021""","=""100""","=""""",,"=""75184.933""","=""105388.167""","=""5d8.(1G).6p""","=""(4,1/2)*""","=""7/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""9/2""",,"=""""","=""L11529""",
"=""331.2482""","=""0.0004""","=""331.24975""","=""0.00009""","=""220bl(Pt I)""","=""""",,"=""66434.382""","=""96614.398""","=""5d8.(3P).6p""","=""(2,3/2)*""","=""7/2""","=""5d8.(3F).7s""","=""(4,1/2)""","=""7/2""",,"=""""","=""L11529c153""",
"=""331.5452""","=""0.0020""","=""331.54777""","=""0.00015""","=""140""","=""""",,"=""71364.741""","=""101517.630""","=""5d8.(3F).6p""","=""(3,3/2)*""","=""3/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""3/2""",,"=""""","=""L11529""",
"=""332.5700""","=""0.0020""","=""332.5705""","=""0.0003""","=""140""","=""""",,"=""80197.371""","=""110257.536""","=""5d8.(1G).6p""","=""(4,3/2)*""","=""7/2""","=""5d8.(3P).6d""","=""(2,5/2)""","=""9/2""",,"=""""","=""L11529""",
"=""332.9689""","=""0.0020""","=""332.96722""","=""0.00022""","=""33""","=""""",,"=""43737.431""","=""73761.781""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d7.6s.6p""","=""73761*""","=""7/2""",,"=""""","=""L11529""",
"=""333.6732""","=""0.0020""","=""333.6730""","=""0.0003""","=""49""","=""""",,"=""80197.371""","=""110158.213""","=""5d8.(1G).6p""","=""(4,3/2)*""","=""7/2""","=""5d8.(3F).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""333.7906""","=""0.0020""","=""333.79034""","=""0.00009""","=""14""","=""""",,"=""36484.069""","=""66434.382""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d8.(3P).6p""","=""(2,3/2)*""","=""7/2""",,"=""""","=""L11529""",
