obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""97.6408""","=""0.0011""","=""97.642011""","=""0.000022""","=""160""","=""""",,"=""0.000""","=""102414.933""","=""5d9""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""102414*""","=""5/2""",,"=""""","=""L3539c164""",
"=""100.7960""","=""0.0011""","=""100.79725""","=""0.00003""","=""140""","=""""",,"=""0.000""","=""99209.06""","=""5d9""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""99209*""","=""5/2""",,"=""""","=""L3539c164""",
"=""101.2858""","=""0.0009""","=""101.28576""","=""0.00004""","=""1000""","=""""",,"=""4786.6527""","=""103517.21""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""103517*""","=""7/2""",,"=""""","=""L3539c164""",
"=""103.27166""","=""0.00020""","=""103.27179""","=""0.00003""","=""2000""","=""""",,"=""4786.6527""","=""101618.52""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.(2H).6s.6p.(3P*)""","=""101618*""","=""11/2""",,"=""""","=""L10146""",
"=""103.3449""","=""0.0011""","=""103.34579""","=""0.00003""","=""80""","=""""",,"=""4786.6527""","=""101549.185""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""101549*""","=""9/2""",,"=""""","=""L3539c164""",
"=""103.5685""","=""0.0011""","=""103.56765""","=""0.00003""","=""320""","=""""",,"=""4786.6527""","=""101341.90""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""101341*""","=""7/2""",,"=""""","=""L3539c164""",
"=""104.03996""","=""0.00020""","=""104.04003""","=""0.00003""","=""3500""","=""""",,"=""4786.6527""","=""100903.50""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""100903*""","=""7/2""",,"=""""","=""L10146""",
"=""106.2020""","=""0.0011""","=""106.20120""","=""0.00005""","=""560""","=""""",,"=""9356.3167""","=""103517.21""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""103517*""","=""7/2""",,"=""""","=""L3539c164""",
"=""106.2628""","=""0.0011""","=""106.26198""","=""0.00003""","=""930""","=""""",,"=""9356.3167""","=""103463.35""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""103463*""","=""5/2""",,"=""""","=""L3539c164""",
"=""106.34761""","=""0.00020""","=""106.347732""","=""0.000023""","=""690""","=""""",,"=""4786.6527""","=""98817.807""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""98817*""","=""7/2""",,"=""""","=""L10146""",
"=""107.5506""","=""0.0011""","=""107.55224""","=""0.00003""","=""93""","=""""",,"=""8419.840""","=""101397.91""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""101397*""","=""5/2""",,"=""""","=""L3539c164""",
"=""107.70774""","=""0.00020""","=""107.707604""","=""0.000023""","=""3500""","=""""",,"=""4786.6527""","=""97630.608""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""97630*""","=""7/2""",,"=""""","=""L10146""",
"=""107.84019""","=""0.00020""","=""107.84023""","=""0.00003""","=""1300""","=""""",,"=""9356.3167""","=""102086.09""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""102086*""","=""9/2""",,"=""""","=""L10146""",
"=""108.03733""","=""0.00020""","=""108.03723""","=""0.00004""","=""4500""","=""""",,"=""9356.3167""","=""101917.00""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""101916*""","=""5/2""",,"=""""","=""L10146""",
"=""108.0948""","=""0.0011""","=""108.09479""","=""0.00006""","=""120""","=""""",,"=""18097.764""","=""110609.16""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""110609*""","=""9/2""",,"=""""","=""L3539c164""",
"=""108.25321""","=""0.00020""","=""108.253306""","=""0.000022""","=""840""","=""""",,"=""8419.840""","=""100795.772""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""100795*""","=""3/2""",,"=""""","=""L10146""",
"=""108.4693""","=""0.0006""","=""108.469400""","=""0.000025""","=""1800""","=""""",,"=""8419.840""","=""100611.739""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""100611*""","=""3/2""",,"=""""","=""L9479c164""",
"=""108.64647""","=""0.00020""","=""108.64653""","=""0.00004""","=""1900""","=""""",,"=""9356.3167""","=""101397.91""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""101397*""","=""5/2""",,"=""""","=""L10146""",
"=""108.71273""","=""0.00020""","=""108.71269""","=""0.00004""","=""3400""","=""""",,"=""9356.3167""","=""101341.90""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""101341*""","=""7/2""",,"=""""","=""L10146""",
"=""109.5011""","=""0.0006""","=""109.50134""","=""0.00005""","=""4200""","=""""",,"=""4786.6527""","=""96109.74""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.(4F).6s.6p""","=""96109*""","=""11/2""",,"=""""","=""L9479c164""",
"=""109.6295""","=""0.0006""","=""109.62944""","=""0.00004""","=""700""","=""""",,"=""16820.9342""","=""108037.31""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""108037*""","=""7/2""",,"=""""","=""L9479c164""",
"=""109.8288""","=""0.0006""","=""109.82834""","=""0.00004""","=""600""","=""""",,"=""8419.840""","=""99471.02""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""99471*""","=""1/2""",,"=""""","=""L9479c164""",
"=""110.03113""","=""0.00020""","=""110.03137""","=""0.00003""","=""460""","=""""",,"=""9356.3167""","=""100239.486""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""100239*""","=""5/2""",,"=""""","=""L10146""",
"=""110.5685""","=""0.0004""","=""110.56870""","=""0.00003""","=""580""","=""""",,"=""9356.3167""","=""99797.827""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""99797*""","=""5/2""",,"=""""","=""L10146""",
"=""110.5715""","=""0.0006""","=""110.57128""","=""0.00007""","=""2300""","=""""",,"=""4786.6527""","=""95226.05""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""95226*""","=""9/2""",,"=""""","=""L9479c164""",
"=""110.8944""","=""0.0006""","=""110.89470""","=""0.00006""","=""480""","=""""",,"=""16820.9342""","=""106996.57""","=""5d8.6s""","=""4F""","=""5/2""","=""5d8.7p""","=""106996*""","=""7/2""",,"=""""","=""L9479c164""",
"=""110.9463""","=""0.0006""","=""110.94584""","=""0.00004""","=""690""","=""""",,"=""13329.277""","=""103463.35""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""103463*""","=""5/2""",,"=""""","=""L9479c164""",
"=""111.0423""","=""0.0006""","=""111.04216""","=""0.00004""","=""3100""","=""""",,"=""4786.6527""","=""94842.54""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""94842*""","=""7/2""",,"=""""","=""L9479c164""",
"=""111.1912""","=""0.0006""","=""111.19166""","=""0.00005""","=""340""","=""""",,"=""15791.309""","=""105726.11""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""105726*""","=""1/2""",,"=""""","=""L9479c164""",
"=""111.29292""","=""0.00020""","=""111.29321""","=""0.00004""","=""1900""","=""""",,"=""9356.3167""","=""99209.06""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""99209*""","=""5/2""",,"=""""","=""L10146""",
"=""111.77952""","=""0.00020""","=""111.779940""","=""0.000025""","=""450""","=""""",,"=""9356.3167""","=""98817.807""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""98817*""","=""7/2""",,"=""""","=""L10146""",
"=""111.8456""","=""0.0006""","=""111.84559""","=""0.00005""","=""610""","=""""",,"=""16820.9342""","=""106229.91""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""106229*""","=""7/2""",,"=""""","=""L9479c164""",
"=""111.8914""","=""0.0006""","=""111.89062""","=""0.00003""","=""800""","=""""",,"=""8419.840""","=""97792.836""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""97792*""","=""5/2""",,"=""""","=""L9479c164""",
"=""111.9965""","=""0.0006""","=""111.99645""","=""0.00005""","=""850""","=""""",,"=""18097.764""","=""107386.31""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""107386*""","=""9/2""",,"=""""","=""L9479c164""",
"=""112.0622""","=""0.0006""","=""112.06268""","=""0.00003""","=""1900""","=""""",,"=""4786.6527""","=""94022.425""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""94022*""","=""9/2""",,"=""""","=""L9479c164""",
"=""112.2511""","=""0.0006""","=""112.25152""","=""0.00003""","=""280""","=""""",,"=""13329.277""","=""102414.933""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""102414*""","=""5/2""",,"=""""","=""L9479c164""",
"=""112.2652""","=""0.0006""","=""112.26416""","=""0.00005""","=""260""","=""""",,"=""16820.9342""","=""105896.56""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""105896*""","=""3/2""",,"=""""","=""L9479c164""",
"=""112.3235""","=""0.0006""","=""112.32459""","=""0.00005""","=""550""","=""""",,"=""21168.729""","=""110196.43""","=""5d8.6s""","=""4F""","=""3/2""","=""5d6.6s2.6p""","=""110196*""","=""5/2""",,"=""""","=""L9479c164""",
"=""112.4880""","=""0.0006""","=""112.48912""","=""0.00005""","=""1000""","=""""",,"=""18097.764""","=""106995.25""","=""5d8.6s""","=""2F""","=""7/2""","=""5d8.7p""","=""106995*""","=""9/2""",,"=""""","=""L9479c164""",
"=""112.57344""","=""0.00020""","=""112.57369""","=""0.00003""","=""320""","=""""",,"=""9356.3167""","=""98187.017""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""98186*""","=""7/2""",,"=""""","=""L10146""",
"=""112.6424""","=""0.0006""","=""112.64254""","=""0.00004""","=""230""","=""""",,"=""16820.9342""","=""105597.34""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""105597*""","=""5/2""",,"=""""","=""L9479c164""",
"=""112.74521""","=""0.00020""","=""112.74545""","=""0.00003""","=""440""","=""""",,"=""4786.6527""","=""93482.030""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""93482*""","=""7/2""",,"=""""","=""L10146""",
"=""112.88238""","=""0.00020""","=""112.88246""","=""0.00004""","=""840""","=""""",,"=""13329.277""","=""101917.00""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""101916*""","=""5/2""",,"=""""","=""L10146""",
"=""112.9310""","=""0.0009""","=""112.93091""","=""0.00004""","=""630""","=""""",,"=""4786.6527""","=""93336.37""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""93336*""","=""7/2""",,"=""""","=""L3539c164""",
"=""113.28313""","=""0.00020""","=""113.28327""","=""0.00003""","=""1900""","=""""",,"=""9356.3167""","=""97630.608""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""97630*""","=""7/2""",,"=""""","=""L10146""",
"=""113.4660""","=""0.0010""","=""113.46598""","=""0.00005""","=""18""","=""""",,"=""18097.764""","=""106229.91""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""106229*""","=""7/2""",,"=""""","=""L11529""",
"=""113.54774""","=""0.00020""","=""113.54781""","=""0.00004""","=""1900""","=""""",,"=""13329.277""","=""101397.91""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""101397*""","=""5/2""",,"=""""","=""L10146""",
"=""113.6060""","=""0.0010""","=""113.60523""","=""0.00006""","=""28""","=""""",,"=""8419.840""","=""96443.96""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""96443*""","=""1/2""",,"=""""","=""L11529""",
"=""113.6200""","=""0.0010""","=""113.62007""","=""0.00004""","=""18""","=""""",,"=""13329.277""","=""101341.90""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""101341*""","=""7/2""",,"=""""","=""L11529""",
"=""113.8389""","=""0.0010""","=""113.83856""","=""0.00009""","=""96""","=""""",,"=""24879.522""","=""112723.22""","=""5d7.6s2""","=""4F""","=""9/2""","=""5d7.(2F).6s.6p""","=""112723*""","=""11/2""",,"=""""","=""L11529,L9479""",
"=""114.06156""","=""0.00020""","=""114.06145""","=""0.00004""","=""42""","=""""",,"=""15791.309""","=""103463.35""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""103463*""","=""5/2""",,"=""""","=""L10146""",
"=""114.0650""","=""0.0010""","=""114.06698""","=""0.00009""","=""42""","=""""",,"=""29030.529""","=""116698.32""","=""5d8.6s""","=""2G""","=""7/2""","=""5d7.6s.6p""","=""116698*""","=""9/2""",,"=""""","=""L11529,L9479""",
"=""114.1170""","=""0.0010""","=""114.11630""","=""0.00005""","=""73""","=""""",,"=""15791.309""","=""103421.21""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""103421*""","=""3/2""",,"=""""","=""L11529""",
"=""114.18875""","=""0.00020""","=""114.18885""","=""0.00004""","=""1100""","=""""",,"=""13329.277""","=""100903.50""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""100903*""","=""7/2""",,"=""""","=""L10146""",
"=""114.32964""","=""0.00020""","=""114.329493""","=""0.000025""","=""4600""","=""""",,"=""13329.277""","=""100795.772""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""100795*""","=""3/2""",,"=""""","=""L10146""",
"=""114.5001""","=""0.0010""","=""114.49797""","=""0.00005""","=""39""","=""""",,"=""16820.9342""","=""104158.73""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""104158*""","=""5/2""",,"=""""","=""L11529""",
"=""114.57033""","=""0.00020""","=""114.57055""","=""0.00003""","=""640""","=""""",,"=""13329.277""","=""100611.739""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""100611*""","=""3/2""",,"=""""","=""L10146""",
"=""114.5870""","=""0.0010""","=""114.58537""","=""0.00005""","=""250""","=""""",,"=""16820.9342""","=""104092.11""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""104092*""","=""3/2""",,"=""""","=""L11529""",
"=""114.7619""","=""0.0010""","=""114.76065""","=""0.00004""","=""95""","=""""",,"=""8419.840""","=""95557.72""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""95557*""","=""3/2""",,"=""""","=""L11529""",
"=""115.01564""","=""0.00020""","=""115.01568""","=""0.00005""","=""1200""","=""""",,"=""18097.764""","=""105042.43""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""105042*""","=""5/2""",,"=""""","=""L11529""",
"=""115.06133""","=""0.00020""","=""115.06128""","=""0.00003""","=""5700""","=""""",,"=""13329.277""","=""100239.486""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""100239*""","=""5/2""",,"=""""","=""L10146""",
"=""115.09198""","=""0.00020""","=""115.09197""","=""0.00003""","=""1300""","=""""",,"=""15791.309""","=""102678.346""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""102678*""","=""3/2""",,"=""""","=""L11529""",
"=""115.09689""","=""0.00020""","=""115.09687""","=""0.00005""","=""1400""","=""""",,"=""4786.6527""","=""91669.99""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""91669*""","=""7/2""",,"=""""","=""L11529""",
"=""115.1589""","=""0.0010""","=""115.15835""","=""0.00007""","=""160""","=""""",,"=""24879.522""","=""111716.47""","=""5d7.6s2""","=""4F""","=""9/2""","=""5d8.7p""","=""111716*""","=""7/2""",,"=""""","=""L11529""",
"=""115.24079""","=""0.00020""","=""115.24060""","=""0.00004""","=""6400""","=""""",,"=""9356.3167""","=""96131.29""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.(2H).6s.6p.(3P*)""","=""96131*""","=""9/2""",,"=""""","=""L11529""",
"=""115.2580""","=""0.0010""","=""115.25723""","=""0.00005""","=""400""","=""""",,"=""23875.570""","=""110638.02""","=""5d8.6s""","=""4P""","=""3/2""","=""5d6.6s2.6p""","=""110638*""","=""5/2""",,"=""""","=""L11529""",
"=""115.2860""","=""0.0010""","=""115.28596""","=""0.00005""","=""470""","=""""",,"=""23461.548""","=""110202.38""","=""5d8.6s""","=""2F""","=""5/2""","=""5d7.6s.6p""","=""110202*""","=""7/2""",,"=""""","=""L11529""",
"=""115.34522""","=""0.00020""","=""115.34521""","=""0.00005""","=""1200""","=""""",,"=""16820.9342""","=""103517.21""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""103517*""","=""7/2""",,"=""""","=""L10146""",
"=""115.4169""","=""0.0010""","=""115.41691""","=""0.00004""","=""40""","=""""",,"=""16820.9342""","=""103463.35""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""103463*""","=""5/2""",,"=""""","=""L11529""",
"=""115.4420""","=""0.0010""","=""115.44195""","=""0.00003""","=""180""","=""""",,"=""15791.309""","=""102414.933""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""102414*""","=""5/2""",,"=""""","=""L11529""",
"=""115.6490""","=""0.0010""","=""115.64898""","=""0.00003""","=""780""","=""""",,"=""13329.277""","=""99797.827""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""99797*""","=""5/2""",,"=""""","=""L11529""",
"=""115.6891""","=""0.0010""","=""115.68949""","=""0.00007""","=""61""","=""""",,"=""21717.305""","=""108155.58""","=""5d8.6s""","=""4P""","=""1/2""","=""5d7.6s.6p""","=""108155*""","=""3/2""",,"=""""","=""L11529""",
"=""115.7430""","=""0.0010""","=""115.74372""","=""0.00004""","=""370""","=""""",,"=""9356.3167""","=""95754.09""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""95754*""","=""5/2""",,"=""""","=""L11529""",
"=""115.8480""","=""0.0010""","=""115.84685""","=""0.00005""","=""87""","=""""",,"=""23875.570""","=""110196.43""","=""5d8.6s""","=""4P""","=""3/2""","=""5d6.6s2.6p""","=""110196*""","=""5/2""",,"=""""","=""L11529""",
"=""115.9031""","=""0.0010""","=""115.90322""","=""0.00012""","=""140""","=""""",,"=""29030.529""","=""115309.41""","=""5d8.6s""","=""2G""","=""7/2""","=""5d7.(2H).6s.6p""","=""115309*""","=""9/2""",,"=""""","=""L11529,L9479""",
"=""115.91308""","=""0.00020""","=""115.91305""","=""0.00007""","=""680""","=""""",,"=""23461.548""","=""109733.11""","=""5d8.6s""","=""2F""","=""5/2""","=""5d8.(3F).7p""","=""4D*""","=""7/2""",,"=""""","=""L11529""",
"=""115.92760""","=""0.00020""","=""115.92755""","=""0.00004""","=""1300""","=""""",,"=""9356.3167""","=""95617.09""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""95617*""","=""7/2""",,"=""""","=""L11529""",
"=""115.9960""","=""0.0010""","=""115.99560""","=""0.00007""","=""450""","=""""",,"=""23875.570""","=""110085.74""","=""5d8.6s""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""110085*""","=""3/2""",,"=""""","=""L11529""",
"=""116.1900""","=""0.0010""","=""116.18895""","=""0.00005""","=""350""","=""""",,"=""23461.548""","=""109528.25""","=""5d8.6s""","=""2F""","=""5/2""","=""5d7.6s.6p""","=""109528*""","=""3/2""",,"=""""","=""L11529""",
"=""116.19681""","=""0.00020""","=""116.19670""","=""0.00005""","=""1300""","=""""",,"=""18097.764""","=""104158.73""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""104158*""","=""5/2""",,"=""""","=""L11529""",
"=""116.2150""","=""0.0010""","=""116.21502""","=""0.00012""","=""280""","=""""",,"=""29262.0099""","=""115309.41""","=""5d8.6s""","=""2G""","=""9/2""","=""5d7.(2H).6s.6p""","=""115309*""","=""9/2""",,"=""""","=""L11529,L9479""",
"=""116.44219""","=""0.00020""","=""116.44184""","=""0.00004""","=""8600""","=""""",,"=""13329.277""","=""99209.06""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""99209*""","=""5/2""",,"=""""","=""L10146""",
"=""116.45543""","=""0.00020""","=""116.45547""","=""0.00008""","=""2400""","=""""",,"=""9356.3167""","=""95226.05""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""95226*""","=""9/2""",,"=""""","=""L11529""",
"=""116.47198""","=""0.00020""","=""116.47218""","=""0.00003""","=""780""","=""""",,"=""16820.9342""","=""102678.346""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""102678*""","=""3/2""",,"=""""","=""L11529""",
"=""116.48721""","=""0.00020""","=""116.48716""","=""0.00007""","=""780""","=""""",,"=""23461.548""","=""109307.92""","=""5d8.6s""","=""2F""","=""5/2""","=""5d7.6s.6p""","=""109307*""","=""7/2""",,"=""""","=""L11529""",
"=""116.6320""","=""0.0010""","=""116.63236""","=""0.00003""","=""380""","=""""",,"=""13329.277""","=""99068.777""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""99068*""","=""3/2""",,"=""""","=""L11529""",
"=""116.68635""","=""0.00020""","=""116.68623""","=""0.00004""","=""9400""","=""""",,"=""16820.9342""","=""102520.85""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.(2G).6s.6p.(3P*)""","=""102520*""","=""7/2""",,"=""""","=""L11529""",
"=""116.70766""","=""0.00020""","=""116.70768""","=""0.00005""","=""1200""","=""""",,"=""21168.729""","=""106852.89""","=""5d8.6s""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""106852*""","=""3/2""",,"=""""","=""L11529""",
"=""116.7521""","=""0.0010""","=""116.75058""","=""0.00005""","=""86""","=""""",,"=""23875.570""","=""109528.25""","=""5d8.6s""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""109528*""","=""3/2""",,"=""""","=""L11529""",
"=""116.81351""","=""0.00020""","=""116.81342""","=""0.00004""","=""1900""","=""""",,"=""15791.309""","=""101397.91""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""101397*""","=""5/2""",,"=""""","=""L10146""",
"=""116.81882""","=""0.00020""","=""116.81863""","=""0.00004""","=""1600""","=""""",,"=""15791.309""","=""101394.094""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""101394*""","=""1/2""",,"=""""","=""L11529""",
"=""116.82621""","=""0.00020""","=""116.82610""","=""0.00018""","=""4700""","=""""",,"=""4786.6527""","=""90383.96""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.(2H).6s.6p.(3P*)""","=""90384*""","=""11/2""",,"=""""","=""L11529,L9479""",
"=""116.83068""","=""0.00020""","=""116.83062""","=""0.00003""","=""6200""","=""""",,"=""16820.9342""","=""102414.933""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""102414*""","=""5/2""",,"=""""","=""L10146""",
"=""116.97514""","=""0.00020""","=""116.97476""","=""0.00003""","=""29000""","=""""",,"=""13329.277""","=""98817.807""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""98817*""","=""7/2""",,"=""""","=""L10146""",
"=""117.0694""","=""0.0010""","=""117.06936""","=""0.00005""","=""100""","=""""",,"=""18097.764""","=""103517.21""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""103517*""","=""7/2""",,"=""""","=""L11529""",
"=""117.1149""","=""0.0010""","=""117.11433""","=""0.00005""","=""56""","=""""",,"=""4786.6527""","=""90173.30""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""90173*""","=""7/2""",,"=""""","=""L11529""",
"=""117.14339""","=""0.00020""","=""117.14322""","=""0.00004""","=""650""","=""""",,"=""18097.764""","=""103463.35""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""103463*""","=""5/2""",,"=""""","=""L10146""",
"=""117.20340""","=""0.00020""","=""117.20337""","=""0.00004""","=""2400""","=""""",,"=""15791.309""","=""101113.09""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""101113*""","=""1/2""",,"=""""","=""L11529""",
"=""117.2800""","=""0.0010""","=""117.28005""","=""0.00006""","=""47""","=""""",,"=""23461.548""","=""108727.54""","=""5d8.6s""","=""2F""","=""5/2""","=""5d7.6s.6p""","=""108727*""","=""7/2""",,"=""""","=""L11529""",
"=""117.3889""","=""0.0010""","=""117.38848""","=""0.00007""","=""190""","=""""",,"=""24879.522""","=""110066.76""","=""5d7.6s2""","=""4F""","=""9/2""","=""5d8.(3F).7p""","=""4F*""","=""9/2""",,"=""""","=""L11529""",
"=""117.4590""","=""0.0010""","=""117.45970""","=""0.00006""","=""330""","=""""",,"=""21717.305""","=""106852.89""","=""5d8.6s""","=""4P""","=""1/2""","=""5d7.6s.6p""","=""106852*""","=""3/2""",,"=""""","=""L11529""",
"=""117.51434""","=""0.00020""","=""117.51425""","=""0.00004""","=""4700""","=""""",,"=""16820.9342""","=""101917.00""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""101916*""","=""5/2""",,"=""""","=""L10146""",
"=""117.54112""","=""0.00020""","=""117.54108""","=""0.00007""","=""660""","=""""",,"=""4786.6527""","=""89863.29""","=""5d8.6s""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""89863*""","=""9/2""",,"=""""","=""L11529""",
"=""117.64097""","=""0.00020""","=""117.64088""","=""0.00003""","=""3800""","=""""",,"=""15791.309""","=""100795.772""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""100795*""","=""3/2""",,"=""""","=""L10146""",
"=""117.69863""","=""0.00020""","=""117.69853""","=""0.00006""","=""6500""","=""""",,"=""18097.764""","=""103060.59""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""103060*""","=""9/2""",,"=""""","=""L11529""",
"=""117.76448""","=""0.00020""","=""117.76451""","=""0.00006""","=""850""","=""""",,"=""9356.3167""","=""94271.54""","=""5d8.6s""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""94271*""","=""5/2""",,"=""""","=""L11529""",
"=""117.83994""","=""0.00020""","=""117.83990""","=""0.00006""","=""1100""","=""""",,"=""23461.548""","=""108322.45""","=""5d8.6s""","=""2F""","=""5/2""","=""5d7.6s.6p""","=""108322*""","=""7/2""",,"=""""","=""L11529""",
"=""117.84426""","=""0.00020""","=""117.84429""","=""0.00003""","=""3300""","=""""",,"=""13329.277""","=""98187.017""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""98186*""","=""7/2""",,"=""""","=""L10146""",
"=""117.89627""","=""0.00020""","=""117.89612""","=""0.00003""","=""24000""","=""""",,"=""15791.309""","=""100611.739""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""100611*""","=""3/2""",,"=""""","=""L10146""",
"=""117.9300""","=""0.0010""","=""117.92873""","=""0.00007""","=""160""","=""""",,"=""23875.570""","=""108672.55""","=""5d8.6s""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""108672*""","=""1/2""",,"=""""","=""L11529""",
