obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
105.888,,,94439,15,,,,,,,,,,,1,1,,,L3331,
108.547,,,92126,20,,,,,,,,,,,1,1,,,L3331,
109.920,,,90975,10,,,,,,,,,,,1,1,,,L3331,
116.319,,,85970,8,,,,,,,,,,,1,1,,,L3331,
116.706,,,85685,8,,,,,,,,,,,1,1,,,L3331,
122.543,,,81604,10,,,,,,,,,,,1,1,,,L3331,
123.278,,,81117,15,,,,,,,,,,,1,1,,,L3331,
124.1045,124.10478,0.00010,80577.3,10,,,0.000,80577.071,6s2.6p2,3P,0,6s2.6p.6d,"(1/2,3/2)*",1,1,3,,,L9843,
126.535,,,79030,10,,,,,,,,,,,1,1,,,L3331,
128.3715,128.37145,0.00010,77898.9,15,,,17031.698,94930.640,6s2.6p2,3P,2,6s.6p3,3D*,2,5,5,,,L9843,
130.618,,,76559,10,,,,,,,,,,,1,1,,,L3331,
132.546,,,75446,20,,,,,,,,,,,1,1,,,L3331,
132.947,,,75218,20,,,,,,,,,,,1,1,,,L3331,
135.007,,,74070,20,,,,,,,,,,,1,1,,,L3331,
137.261,,,72854,25,,,,,,,,,,,1,1,,,L3331,
137.602,,,72673,15,,,,,,,,,,,1,1,,,L3331,
139.392,,,71740,20,,,,,,,,,,,1,1,,,L3331,
143.6810,143.68131,0.00010,69598.6,45,3.47e+06,,0.000,69598.475,6s2.6p2,3P,0,6s2.6p.7s,"(1/2,1/2)*",1,1,3,,T7227,L9843,
144.794,,,69064,25,,,,,,,,,,,1,1,,,L3331,
145.5091,,,68724.2,50,,,,,,,,,,,1,1,,,L9843,
146.214,,,68393,25,,,,,,,,,,,1,1,,,L3331,
148.6954,,,67251.6,35,,,,,,,,,,,1,1,,,L9843,
150.250,,,66556,20,,,,,,,,,,,1,1,,,L3331,
152.0549,,,65765.7,40,,,,,,,,,,,1,1,,,L9843,
153.3139,,,65225.7,40,,,,,,,,,,,1,1,,,L9843,
153.6745,,,65072.6,30,,,,,,,,,,,1,1,,,L9843,
153.8037,,,65017.9,35,,,,,,,,,,,1,1,,,L9843,
156.367,,,63952,20,,,,,,,,,,,1,1,,,L3331,
157.369,,,63545,40,,,,,,,,,,,1,1,,,L9843,
159.176,159.1766,0.0010,62824,60,,,13325.401,76148.712,6s2.6p2,3P,1,6s.6p3,5S*,2,3,5,,,L9843,
160.158,,,62438,25,,,,,,,,,,,1,1,,,L3331,
160.969,,,62124,40,,,,,,,,,,,1,1,,,L9843,
161.1358,,,62059.5,40,,,,,,,,,,,1,1,,,L9843,
165.281,,,60503,20,,,,,,,,,,,1,1,,,L3331,
174.929,,,57166,20,,,,,,,,,,,1,1,,,L3331,
177.705,177.7049,0.0010,56273,80,9.70e+07,,13325.401,69598.475,6s2.6p2,3P,1,6s2.6p.7s,"(1/2,1/2)*",1,3,3,,T7227,L9843,
178.7406,,,55947.0,60,,,,,,,,,,,1,1,,,L9843,
179.1842,179.1842,0.0010,55808.5,70,6.41e+08,,13325.401,69133.891,6s2.6p2,3P,1,6s2.6p.7s,"(1/2,1/2)*",0,3,1,,T7227,L9843,
182.3728,182.37284,0.00010,54832.7,70,,,33938.718,88771.443,6s2.6p2,1D,2,6s2.6p.7s,"(3/2,1/2)*",2,5,5,,,L9843,
190.2341,190.23422,0.00010,52566.8,100,3.55e+08,,17031.698,69598.475,6s2.6p2,3P,2,6s2.6p.7s,"(1/2,1/2)*",1,5,3,,T7227,L9843,
198.935,,,50268,25,,,,,,,,,,,1,1,,,L3331,
206.9598,,,48318.57,45w,,,,,,,,,,,1,1,,,L9843,
214.408,,,46640.2,15,,,,,,,,,,,1,1,,,L3331,
214.414,,,46638.8,15,,,,,,,,,,,1,1,,,L3331,
218.7614,218.76138,0.00010,45711.90,60,,,44173.768,89885.675,6s2.6p2,1S,0,6s2.6p.7s,"(3/2,1/2)*",1,1,3,,,L9887,
221.4721,,,45152.42,40w,,,,,,,,,,,1,1,,,L9887,
236.884,,,42214.7,16,,,,,,,,,,,1,1,,,L3331,
236.9108,,,42209.99,12,,,,,,,,,,,1,1,,,L9887,
250.18,,,39972,10,,,,,,,,,,,1,1,,,L3331,
254.53,,,39289,20w,,,,,,,,,,,1,1,,,L3331,
269.38,,,37122,12,,,,,,,,,,,1,1,,,L3331,
271.41,,,36845,20,,,,,,,,,,,1,1,,,L3331,
280.425,,,35660.2,15,,,,,,,,,,,1,1,,,L3331,
280.453,,,35656.6,11,,,,,,,,,,,1,1,,,L3331,
280.61,,,35636,12,,,,,,,,,,,1,1,,,L3331,
293.76,,,34042,15,,,,,,,,,,,1,1,,,L3331,
295.13,,,33884,20,,,,,,,,,,,1,1,,,L3331,
296.43,,,33735,12,,,,,,,,,,,1,1,,,L3331,
343.1589,,,29141.02,10,,,,,,,,,,,1,1,,,L9887,
343.221,,,29135.7,12,,,,,,,,,,,1,1,,,L3331,
365.52,,,27358,12,,,,,,,,,,,1,1,,,L3331,
379.3641,379.3641,0.0010,26359.90,70w,,,79091.141,105451.045,6s2.6p.6d,"(1/2,3/2)*",2,6s2.6p.5f,"(1/2,5/2)",3,5,7,,,L9887,
381.22,,,26232,12,,,,,,,,,,,1,1,,,L3331,
381.69,,,26199,20,,,,,,,,,,,1,1,,,L3331,
384.69,,,25995,10,,,,,,,,,,,1,1,,,L3331,
386.5121,,,25872.41,30,,,,,,,,,,,1,1,,,L9887,
408.0224,,,24508.46,40w,,,,,,,,,,,1,1,,,L9887,
409.84,,,24400,10,,,,,,,,,,,1,1,,,L3331,
426.0612,426.0612,0.0010,23470.81,75w,,,82257.251,105728.060,6s2.6p.6d,"(1/2,5/2)*",3,6s2.6p.5f,"(1/2,7/2)",4,7,9,,,L9887,
427.32,,,23402,25,,,,,,,,,,,1,1,,,L3331,
430.2907,430.2907,0.0010,23240.10,70w,,,82049.632,105289.732,6s2.6p.6d,"(1/2,5/2)*",2,6s2.6p.5f,"(1/2,7/2)",3,5,7,,,L9887,
434.10,,,23036,12w,,,,,,,,,,,1,1,,,L3331,
434.17,,,23032,25w,,,,,,,,,,,1,1,,,L3331,
438.06,,,22828,12w,,,,,,,,,,,1,1,,,L3331,
447.81,,,22331,25w,,,,,,,,,,,1,1,,,L3331,
470.6602,470.6602,0.0010,21246.75,60w,,,84280.446,105527.197,6s2.6p.7p,"(1/2,1/2)",1,6s2.6p.7d,"(1/2,3/2)*",2,3,5,,,L9887,
473.1590,,,21134.54,30,,,,,,,,,,,1,1,,,L9887,
475.10,,,21048,20,,,,,,,,,,,1,1,,,L3331,
490.96,,,20368,12,,,,,,,,,,,1,1,,,L3331,
491.80,,,20334,10,,,,,,,,,,,1,1,,,L3331,
497.11,,,20116,12,,,,,,,,,,,1,1,,,L3331,
499.50,,,20020,20,,,,,,,,,,,1,1,,,L3331,
509.30,,,19635,10,,,,,,,,,,,1,1,,,L3331,
512.5784,512.5784,0.0010,19509.21,50w,,,88771.443,108280.653,6s2.6p.7s,"(3/2,1/2)*",2,6s2.6p.7p,"(3/2,3/2)",3,5,7,,,L9887,
514.5925,514.5940,0.0010,19432.85,60w,,,69133.891,88566.685,6s2.6p.7s,"(1/2,1/2)*",0,6s2.6p.7p,"(1/2,3/2)",1,1,3,,,L9887,
520.29,,,19220,20,,,,,,,,,,,1,1,,,L3331,
521.0775,521.0775,0.0010,19191.00,75w,,,69598.475,88789.478,6s2.6p.7s,"(1/2,1/2)*",1,6s2.6p.7p,"(1/2,3/2)",2,3,5,,,L9887,
527.1979,,,18968.21,40w,,,,,,,,,,,1,1,,,L9887,
539.93,,,18521,10,,,,,,,,,,,1,1,,,L3331,
565.68,,,17678,20,,,,,,,,,,,1,1,,,L3331,
572.0725,,,17480.30,40w,,,,,,,,,,,1,1,,,L9887,
581.99,,,17182,12,,,,,,,,,,,1,1,,,L3331,
586.18,,,17060,20,,,,,,,,,,,1,1,,,L3331,
597.47,,,16737,20,,,,,,,,,,,1,1,,,L3331,
606.08,,,16500,15,,,,,,,,,,,1,1,,,L3331,
612.97,,,16314,15,,,,,,,,,,,1,1,,,L3331,
649.95,,,15385.8,15,,,,,,,,,,,1,1,,,L3331,
657.90,,,15199.8,10,,,,,,,,,,,1,1,,,L3331,
660.2162,,,15146.554,40w,,,,,,,,,,,1,1,,,L3331,
681.1075,,,14681.970,50w,,,,,,,,,,,1,1,,,L3331,
