"=""199.017""","=""199.022+""","=""1""","=""""",,"=""77139.4""","=""127385.2""","=""5s.5p3""","=""3P*""","=""1""","=""5s.5p2.(4P).6s""","=""3P""","=""1""",,"=""""","=""L16370,L3304""",
"=""199.034""","=""199.035+""","=""6""","=""""",,"=""77139.4""","=""127381.9""","=""5s.5p3""","=""3P*""","=""1""","=""5s.5p2.(4P).6s""","=""3P""","=""0""",,"=""""","=""L16370,L3304""",
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""214.180""","=""214.176+""","=""10""","=""""",,"=""66291.6""","=""112967.5""","=""5s.5p3""","=""3D*""","=""1""","=""5s2.5p.4f""","=""3D""","=""2""",,"=""""","=""L3304,L16370""",
"=""222.515""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""248.046""","=""248.078+""","=""8""","=""""",,"=""76857.8""","=""117155.6""","=""5s.5p3""","=""3P*""","=""0""","=""5s2.5p.8p""","=""1P""","=""1""",,"=""""","=""L3304,L16370""",
"=""252.8535""","=""252.849+""","=""15""","=""""",,"=""72389.7""","=""111927.1""","=""5s2.5p.5d""","=""1D*""","=""2""","=""5s2.5p.4f""","=""3D""","=""3""",,"=""""","=""L3304,L16370""",
"=""256.7754""","=""256.774+""","=""10""","=""""",,"=""12789.8""","=""51722.9""","=""5s2.5p2""","=""1D""","=""2""","=""5s.5p3""","=""5S*""","=""2""",,"=""""","=""L3304,L16370""",
"=""265.655""","=""265.652+""","=""12*""","=""""",,"=""78390.9""","=""116022.9""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.5f""","=""1F""","=""3""",,"=""""","=""L3304,L16370""",
"=""265.655""","=""265.654+""","=""12*""","=""""",,"=""67887.5""","=""105519.3""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.4f""","=""3F""","=""4""",,"=""""","=""L3304,L16370""",
"=""296.610""","=""296.604+""","=""12""","=""""",,"=""77726.9""","=""111432.0""","=""5s2.5p.5d""","=""3F*""","=""3""","=""5s2.5p.4f""","=""3G""","=""4""",,"=""""","=""L3304,L16370""",
