obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
529.5650,0.0003,529.5650,18883.423,400h,9.2e+06,,123411.351,142294.773,5d10.5f,2F*,5/2,5d10.7g,2G,7/2,6,8,,T7226,L11760,
531.7546,0.0006,531.7548,18805.667,75c,1.5e+04,,86178.478,104984.138,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d10.6d,2D,3/2,4,4,,T7226,L11760,
537.3867,0.0003,537.3868,18608.574,40,,,146727.968,165336.537,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",9/2,5d9.6s.5f,"[(2D<5/2>,1/2)<3>,5/2]*",11/2,10,12,,,L11760,
542.6761,0.0003,542.6757,18427.198,8000000,1.4e+08,,104984.138,123411.351,5d10.6d,2D,3/2,5d10.5f,2F*,5/2,4,6,,T7226,L11760,
546.6805,0.0003,,18292.221,250,,,,,,,,,,,1,1,,,L11760,
559.6821,0.0005,559.6814,17867.284,200000,8.8e+06,,105544.042,123411.351,5d10.6d,2D,5/2,5d10.5f,2F*,5/2,6,6,,T7226,L11760,
567.8680,0.0003,567.8678,17609.725,20000000E,1.8e+08,,105544.042,123153.775,5d10.6d,2D,5/2,5d10.5f,2F*,7/2,6,8,,T7226,L11760,
570.0171,0.0003,570.0174,17543.333,1500c,4.6e+06,,103873.302,121416.626,5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,5d10.8s,2S,1/2,2,2,,T7226,L11760,
585.3380,0.0004,585.3388,17084.146,1300c,8.0e+06,,121960.399,139044.521,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,5d10.6g,2G,7/2,6,8,,T7226,L11760,
587.2526,0.0003,,17028.447,80p,,,,,,,,,,,1,1,,,L11760,
587.2906,0.0003,587.29052,17027.345,1200000,1.0e+08,,108298.183,125325.531,5d10.7p,2P*,1/2,5d10.7d,2D,3/2,2,4,,T7226,L11760,
587.3199,0.0003,,17026.495,50u,,,,,,,,,,,1,1,,,L11760,
587.3548,0.0003,,17025.483,600h,,,,,,,,,,,1,1,,,L11760,
589.0571,0.0003,589.0579,16976.283,2000000c,3.8e+07,,104984.138,121960.399,5d10.6d,2D,3/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,4,6,,T7226,L11760,
592.0136,0.0003,592.0136,16891.504,10w,3.3e+06,,127795.481,144686.984,5d10.8p,2P*,3/2,5d10.11d,2D,5/2,4,6,,T7226,L11760,
594.9328,0.0003,594.9329,16808.622,150,4.5e+06,,125325.531,142134.148,5d10.7d,2D,3/2,5d10.8f,2F*,5/2,4,6,,T7226,L11760,
596.3160,0.0006,596.3171,16769.631,1500c,1.8e+06,,104984.138,121753.739,5d10.6d,2D,3/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,4,2,,T7226,L11760,
598.0572,0.0003,,16720.808,180h,,,,,,,,,,,1,1,,,L11760,
603.4324,0.0003,,16571.866,60h,,,,,,,,,,,1,1,,,L11760,
604.2718,0.0003,604.2720,16548.845,180h,4.5e+06,,125579.636,142128.476,5d10.7d,2D,5/2,5d10.8f,2F*,7/2,6,8,,T7226,L11760,
609.1480,0.0004,609.1485,16416.372,8000c,2.7e+06,,105544.042,121960.399,5d10.6d,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,6,6,,T7226,L11760,
610.1785,0.0003,,16388.648,100,,,,,,,,,,,1,1,,,L11760,
610.2021,0.0004,610.2030,16388.014,5000c,1.8e+07,,109191.648,125579.636,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,5d10.7d,2D,5/2,4,6,,T7226,L11760,
614.3473,0.0003,,16277.438,150,,,,,,,,,,,1,1,,,L11760,
614.8136,0.0003,,16265.092,1500000,,,,,,,,,,,1,1,,,L11760,
614.8546,0.0003,,16264.007,350w,,,,,,,,,,,1,1,,,L11760,
615.11769,0.00010,615.11745,16257.052,25000000c,6.2e+07,,95714.406,111971.464,5d10.7s,2S,1/2,5d10.7p,2P*,3/2,2,4,,T7226,L11760,
615.3705,0.0003,,16250.374,120,,,,,,,,,,,1,1,,,L11760,
615.8842,0.0003,,16236.819,120,,,,,,,,,,,1,1,,,L11760,
616.0007,0.0003,,16233.747,1000,,,,,,,,,,,1,1,,,L11760,
619.6003,0.0003,,16139.437,70h,,,,,,,,,,,1,1,,,L11760,
619.8123,0.0003,619.8136,16133.915,250c,3.0e+06,,109191.648,125325.531,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,5d10.7d,2D,3/2,4,4,,T7226,L11760,
624.3949,0.0003,,16015.506,65000,,,,,,,,,,,1,1,,,L11760,
629.2968,0.0003,629.2970,15890.753,65000,2.6e+07,,123153.775,139044.524,5d10.5f,2F*,7/2,5d10.6g,2G,9/2,8,10,,T7226,L11760,
