obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
46.1080,0.0003,46.107990,0.000017,216882.1,8,,,0.0000,216882.15,3s2.3p5,2P*,3/2,3s2.3p4.(1D).5d,2S,1/2,4,2,,,L5807,
46.4144,0.0003,46.414359,0.000017,215450.4,7,,,1431.5831,216882.15,3s2.3p5,2P*,1/2,3s2.3p4.(1D).5d,2S,1/2,2,2,,,L5807,
48.7227,0.0010,48.7227217,0.0000004,205243.,2,,,0.0000,205243.0497,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2S,1/2,4,2,,,L3263,
48.7264,0.0003,48.7278351,0.0000005,205227.6,0,,,0.0000,205221.512,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2P,3/2,4,4,,,L16202,
48.8782,0.0003,48.879280,0.000003,204590.2,0.5,,,0.0000,204585.664,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2D,5/2,4,6,,,L16202,
48.8987,0.0003,48.8961570,0.0000005,204504.4,0,,,0.0000,204515.050,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2P,1/2,4,2,,,L16202,
48.9196,0.0003,48.9195390,0.0000005,204417.0,0.5,,,0.0000,204417.2985,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2D,3/2,4,4,,,L16202,
49.0698,0.0003,49.0701383,0.0000005,203791.3,0.5,,,1431.5831,205221.512,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5d,2P,3/2,2,4,,,L16202,
49.2418,0.0003,49.2408375,0.0000005,203079.5,0,,,1431.5831,204515.050,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5d,2P,1/2,2,2,,,L16202,
49.4686,0.0003,49.46676252,0.00000020,202148.4,0.5,,,0.0000,202155.9425,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2F,5/2,4,6,,,L16202,
49.6650,0.0003,49.66436403,0.00000022,201349.0,0.5*,,,0.0000,201351.6169,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,4F,5/2,4,6,,,L16202,
49.6650,0.0003,49.66592402,0.00000022,201349.0,0.5*,,,0.0000,201345.2925,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,4P,3/2,4,4,,,L16202,
49.992,0.002,49.99192963,0.00000020,200032.,1,,,0.0000,200032.2867,3s2.3p5,2P*,3/2,3s2.3p4.(3P).6s,2P,3/2,4,4,,,L3263,
50.0798,0.0003,50.08016733,0.00000023,199681.3,0.5,,,0.0000,199679.8440,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2D,5/2,4,6,,,L16202,
50.1184,0.0003,50.11897078,0.00000023,199527.5,0.5,,,0.0000,199525.2465,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2P,3/2,4,4,,,L16202,
50.140,0.002,50.1387271,0.0000003,199442.,1,,,0.0000,199446.6269,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2P,1/2,4,2,,,L3263,
50.1993,0.0003,50.20277299,0.00000023,199206.0,0,,,1431.5831,200623.7672,3s2.3p5,2P*,1/2,3s2.3p4.(3P).6s,2P,1/2,2,2,,,L16202,
50.2157,0.0003,50.21630407,0.00000020,199140.9,1,,,0.0000,199138.5106,3s2.3p5,2P*,3/2,3s2.3p4.(3P).6s,4P,3/2,4,4,,,L16202,
50.3649,0.0003,50.36503538,0.00000023,198551.0,0.5,,,1431.5831,199982.0244,3s2.3p5,2P*,1/2,3s2.3p4.(1D).4d,2D,3/2,2,4,,,L16202,
50.480,0.002,50.48117051,0.00000023,198098.,1,,,1431.5831,199525.2465,3s2.3p5,2P*,1/2,3s2.3p4.(1D).4d,2P,3/2,2,4,,,L3263,
