obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
319.8024,319.804+,31269.31,100,,,101611.4,132880.6,3d10.5p,2P*,3/2,3d10.7d,2D,3/2,4,4,,,L45,
330.0367,330.037+,30299.66,50,,,96909.74,127209.4,3d10.4d,2D,3/2,3d10.5f,2F*,5/2,4,6,,,L45,
330.6962,330.697+,30239.24,75,,,96960.40,127199.6,3d10.4d,2D,5/2,3d10.5f,2F*,7/2,6,8,,,L45,
380.7425,380.739+,26264.47,50,,,101365.9,127630.6,3d10.5p,2P*,1/2,3d10.6d,2D,3/2,2,4,,,L45,
384.138,384.138+,26032.3,100,,,101611.4,127643.7,3d10.5p,2P*,3/2,3d10.6d,2D,5/2,4,6,,,L45,
407.929,407.928+,24514.1,40,8.9e+06,C,101365.9,125880.0,3d10.5p,2P*,1/2,3d10.7s,2S,1/2,2,2,,T7870,L45,
412.055,412.055+,24268.6,40,1.56e+07,C,101611.4,125880.0,3d10.5p,2P*,3/2,3d10.7s,2S,1/2,4,2,,T7870,L45,
491.29982,491.298+,20354.170,800,1.82e+08,C,96909.74,117264.0,3d10.4d,2D,3/2,3d10.4f,2F*,5/2,4,6,,T7870,"L9761,L45",
492.52638,492.523+,20303.481,7,,,96960.40,117264.0,3d10.4d,2D,5/2,3d10.4f,2F*,5/2,6,6,,,L9761,
492.53878,492.538+,20302.970,500,2.72e+08,C,96960.40,117263.4,3d10.4d,2D,5/2,3d10.4f,2F*,7/2,6,8,,T7870,"L9761,L45",
589.59942,589.600+,16960.668,500,,,48481.00,65441.64,3d10.4p,2P*,1/2,3d9.4s2,2D,3/2,2,4,,,"L9761,L45",
602.285,602.29+,16603.4,500,7.5e+07,C,101365.9,117969.32,3d10.5p,2P*,1/2,3d10.5d,2D,3/2,2,4,,T7870,L45,
610.418,610.42+,16382.2,500,6.21e+07,C,101611.4,117993.61,3d10.5p,2P*,3/2,3d10.5d,2D,5/2,4,6,,T7870,L45,
611.322,611.32+,16358.0,100,4.28e+06,C,101611.4,117969.32,3d10.5p,2P*,3/2,3d10.5d,2D,3/2,4,4,,T7870,L45,
621.62971,621.635+,16086.747,500,,,49355.04,65441.64,3d10.4p,2P*,3/2,3d9.4s2,2D,3/2,4,4,,,"L9761,L45",
748.08287,748.088+,13367.5031,200,,,49355.04,62722.45,3d10.4p,2P*,3/2,3d9.4s2,2D,5/2,4,6,,,"L9761,L45",
759.05540,759.06+,13174.2690,300,5.4e+07,D+,88437.15,101611.4,3d10.5s,2S,1/2,3d10.5p,2P*,3/2,2,4,,T9418,"L9761,L45",
761.50,761.49+,13132.0,100,3.22e+07,D+,101365.9,114498.02,3d10.5p,2P*,1/2,3d10.6s,2S,1/2,2,2,,T9418,L45,
773.46166,773.47+,12928.8890,300,5.1e+07,D+,88437.15,101365.9,3d10.5s,2S,1/2,3d10.5p,2P*,1/2,2,2,,T9418,"L9761,L45",
776.00,776.00+,12886.5,200,6.4e+07,D+,101611.4,114498.02,3d10.5p,2P*,3/2,3d10.6s,2S,1/2,4,2,,T9418,L45,
