obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,41.36472,241751.9,,,,40468.01,282219.90,2s2.2p3,2P*,3/2,2s2.2p2.(1S).4s,2S,1/2,4,2,,,L11267,
,41.36506,241749.9,,,,40470.00,282219.90,2s2.2p3,2P*,1/2,2s2.2p2.(1S).4s,2S,1/2,2,2,,,L11267,
,41.58217,240487.7,,,,26810.55,267298.23,2s2.2p3,2D*,5/2,2s2.2p2.(3P).6s,2P,3/2,6,4,,,L11267,
,41.58563,240467.7,,,,26830.57,267298.23,2s2.2p3,2D*,3/2,2s2.2p2.(3P).6s,2P,3/2,4,4,,,L11267,
,41.61975,240270.5,,,,26830.57,267101.1?,2s2.2p3,2D*,3/2,2s2.2p2.(3P).6s,2P,1/2,4,2,,,L11267,
,41.8332,239045,,,,26810.55,265855.2,2s2.2p3,2D*,5/2,2s2.2p2.(3P).5d,2D,5/2,6,6,,,L11267,
,41.8367,239025,,,,26830.57,265855.2,2s2.2p3,2D*,3/2,2s2.2p2.(3P).5d,2D,5/2,4,6,,,L11267,
41.8598,41.85958,238893,5,1.86e+08,C+,0.00,238893.96,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,4P,5/2,4,6,,T5723LS,L3492,
41.8812,41.8812,238771,1,,,26810.55,265581.2?,2s2.2p3,2D*,5/2,2s2.2p2.(3P).5d,2F,7/2,6,8,,,L3492,
,41.88786,238732.6,,1.86e+08,C+,0.00,238732.65,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,4P,3/2,4,4,,T5723LS,L11267,
,41.90633,238627.5,,1.86e+08,C+,0.00,238627.46,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,4P,1/2,4,2,,T5723LS,L11267,
42.02,42.07398,238000,*,,,40468.01,278144.62,2s2.2p3,2P*,3/2,2s2.2p2.(1D).5s,2D,5/2,4,6,,,L7084,
42.02,42.07403,238000,*,,,40468.01,278144.33?,2s2.2p3,2P*,3/2,2s2.2p2.(1D).5s,2D,3/2,4,4,,,L7084,
42.02,42.07438,238000,*,,,40470.00,278144.33?,2s2.2p3,2P*,1/2,2s2.2p2.(1D).5s,2D,3/2,2,4,,,L7084,
,42.44350,235607.3,,7.99e+08,D,40468.01,276075.32,2s2.2p3,2P*,3/2,2s2.2p2.(1S).3d,2D,5/2,4,6,,T5723LS,L11267,
42.4577,42.4577,235529,1*,,,40468.01,275996.5?,2s2.2p3,2P*,3/2,2s2.2p2.(1D).4d,2S,1/2,4,2,,,L3492,
42.4577,42.4581,235529,1*,,,40470.00,275996.5?,2s2.2p3,2P*,1/2,2s2.2p2.(1D).4d,2S,1/2,2,2,,,L3492,
,42.45997,235515.9,,1.33e+08,E,40468.01,275983.95,2s2.2p3,2P*,3/2,2s2.2p2.(1S).3d,2D,3/2,4,4,,T5723LS,L11267,
,42.46033,235514.0,,6.65e+08,D,40470.00,275983.95,2s2.2p3,2P*,1/2,2s2.2p2.(1S).3d,2D,3/2,2,4,,T5723LS,L11267,
42.5273,42.5273,235143,1*,,,40468.01,275611.1?,2s2.2p3,2P*,3/2,2s2.2p2.(1D).4d,2P,3/2,4,4,,,L3492,
42.5273,42.5277,235143,1*,,,40470.00,275611.1?,2s2.2p3,2P*,1/2,2s2.2p2.(1D).4d,2P,3/2,2,4,,,L3492,
,42.6522,234455,,2.06e+06,C,0.00,234454.634,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,2D,5/2,4,6,,T6172,,
42.6526,42.6512,234452,5w*,1.23e+09,D,40468.01,274928.0,2s2.2p3,2P*,3/2,2s2.2p2.(1D).4d,2D,5/2,4,6,,T5723LS,L3492,
42.6526,42.6534,234452,5w*,2.04e+08,E,40468.01,274916.0,2s2.2p3,2P*,3/2,2s2.2p2.(1D).4d,2D,3/2,4,4,,T5723LS,L3492,
42.6526,42.6537,234452,5w*,1.02e+09,D,40470.00,274916.0,2s2.2p3,2P*,1/2,2s2.2p2.(1D).4d,2D,3/2,2,4,,T5723LS,L3492,
