obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
337.439,,29635.0,180,,,,,,,L3475,
337.570,,29623.5,380,,,,,,,L3475,
337.724,,29610.0,110,,,,,,,L3475,
337.843,,29599.5,150,,,,,,,L3475,
338.884,,29508.6,570,,,,,,,L3475,
338.927,,29504.9,760,,,,,,,L3475,
339.295,,29472.8,5700,,,,,,,L3475,
339.409,,29462.9,570,,,,,,,L3475,
339.730,,29435.1,160,,,,,,,L3475,
340.033,,29408.9,380,,,,,,,L3475,
340.581,,29361.6,570,,,,,,,L3475,
341.123,,29315.0,760,,,,,,,L3475,
343.151,,29141.7,1000,,,,,,,L3475,
343.813,,29085.6,380,,,,,,,L3475,
343.922,,29076.4,4700,,,,,,,L3475,
345.855,,28913.8,410,,,,,,,L3475,
345.992,,28902.4,200,,,,,,,L3475,
346.401,,28868.3,820,,,,,,,L3475,
348.039,,28732.4,1200,,,,,,,L3475,
348.215,,28717.9,1300,,,,,,,L3475,
348.454,,28698.2,760,,,,,,,L3475,
349.721,,28594.2,4100,,,,,,,L3475,
350.648,,28518.6,350,,,,,,,L3475,
350.667,,28517.1,820,,,,,,,L3475,
351.146,,28478.2,200,,,,,,,L3475,
352.682,,28354.2,440,,,,,,,L3475,
354.363,,28219.6,630,,,,,,,L3475,
355.296,,28145.5,1800,,,,,,,L3475,
355.762,,28108.7,2100,,,,,,,L3475,
357.349,,27983.8,2100,,,,,,,L3475,
357.410,,27979.1,210,,,,,,,L3475,
357.787,,27949.6,1300,,,,,,,L3475,
358.900,,27862.9,440,,,,,,,L3475,
361.292,,27678.4,690,,,,,,,L3475,
361.413,,27669.2,1100,,,,,,,L3475,
361.580,,27656.4,1100,,,,,,,L3475,
367.232,,27230.8,390,,,,,,,L3475,
367.577,,27205.2,800,,,,,,,L3475,
369.851,,27037.9,390,,,,,,,L3475,
369.922,,27032.7,960,,,,,,,L3475,
371.032,,26951.9,720,,,,,,,L3475,
373.232,,26793.0,270,,,,,,,L3475,
374.704,,26687.7,560,,,,,,,L3475,
375.267,,26647.7,880,,,,,,,L3475,
376.789,,26540.1,340,,,,,,,L3475,
381.866,,26187.2,210,,,,,,,L3475,
383.785,,26056.3,1300,,,,,,,L3475,
384.411,,26013.8,550,,,,,,,L3475,
391.705,,25529.4,310,,,,,,,L3475,
393.523,,25411.5,200,,,,,,,L3475,
393.590,,25407.1,200,,,,,,,L3475,
395.934,,25256.7,940,,,,,,,L3475,
399.226,,25048.5,770,,,,,,,L3475,
400.010,,24999.4,770,,,,,,,L3475,
403.082,,24808.9,400,,,,,,,L3475,
404.675,,24711.2,400,,,,,,,L3475,
404.981,,24692.5,610,,,,,,,L3475,
405.147,,24682.4,200,,,,,,,L3475,
415.037,,24094.2,1200,,,,,,,L3475,
415.741,,24053.4,290,,,,,,,L3475,
416.238,,24024.7,400,,,,,,,L3475,
421.017,,23752.0,610,,,,,,,L3475,
421.307,,23735.7,200,,,,,,,L3475,
436.097,,22930.7,290,,,,,,,L3475,
438.101,,22825.8,240,,,,,,,L3475,
444.425,,22501.0,140,,,,,,,L3475,
449.823,,22231.0,200,,,,,,,L3475,
511.369,,19555.3,50,,,,,,,L3475,
519.305,,19256.5,100,,,,,,,L3475,
535.158,,18686.1,30,,,,,,,L3475,
535.184,,18685.2,30,,,,,,,L3475,
667.985,,14970.39,11,,,,,,,L3475,
678.902,,14729.66,15,,,,,,,L3475,
