obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
115.4118,0.0012,115.412354,0.000005,86646.2,610,,,11321.860,97967.697,3d7.(4F).4s,b 3F,2,3d7.(4F).5p,3F*,3,5,7,,,L4687c119,
115.7088,0.0009,115.708956,0.000009,86423.9,4300,4.e+06,E,9812.860,96236.594,3d7.(4F).4s,b 3F,4,3d7.(4F).5p,3G*,5,9,11,,T6999,L4687c119,
116.0437,0.0012,116.044311,0.000009,86174.4,870,1.7e+06,E,10708.331,96882.310,3d7.(4F).4s,b 3F,3,3d7.(4F).5p,5G*,4,7,9,,T6999,L4687c119,
116.2600,0.0012,116.260380,0.000005,86014.1,610,,,11321.860,97335.685,3d7.(4F).4s,b 3F,2,3d7.(4F).5p,5G*,3,5,7,,,L4687c119,
116.9544,0.0012,116.955697,0.000011,85503.4,4300d,,,11651.277,97153.739,3d8,a 1D,2,3d7.(4F).5p,5F*,1,5,3,,,L4687c119,
117.3114,0.0012,117.310041,0.000006,85243.2,610,1.2e+07,E,13404.321,98648.516,3d8,a 3P,1,3d7.(4F).5p,3D*,2,3,5,,T6999,L4687c119,
117.6802,0.0012,117.681625,0.000010,84976.1,860,,,10708.331,95683.364,3d7.(4F).4s,b 3F,3,3d7.(4F).5p,5D*,3,7,7,,,L4687c119,
118.7413,0.0009,118.741291,0.000023,84216.7,1700,4.5e+07,D,0.000,84216.703,3d8,a 3F,4,3d7.(2F).4p,v 3D*,3,9,7,,T6999,L4687c119,
118.9428,0.0012,118.941426,0.000004,84074.0,850D,,,13260.688,97335.685,3d8,a 3P,2,3d7.(4F).5p,5G*,3,5,7,,,L4687c119,
119.7793,0.0012,119.77964,0.00004,83486.9,830,,,13404.321,96890.966,3d8,a 3P,1,3d7.(4F).5p,5F*,2,3,5,,,L4687c119,
119.8418,0.0012,119.84049,0.00003,83443.3,820D,4.1e+07,D,950.324,84394.573,3d8,a 3F,3,3d7.(2F).4p,v 3D*,2,7,5,,T6999,L4687c119,
120.3598,0.0012,120.3609,0.0003,83084.2,570,,,4028.988,87112.43,3d7.(4F).4s,a 5F,4,3d6.(5D).4s.4p,v 3F*,4,9,9,,,L4687c119,
120.7417,0.0012,120.74035,0.00004,82821.4,800,5.2e+07,D,1597.197,84419.550,3d8,a 3F,2,3d7.(2F).4p,v 3D*,1,5,3,,T6999,L4687c119,
121.0358,0.0012,121.036792,0.000023,82620.2,790,,,1597.197,84216.703,3d8,a 3F,2,3d7.(2F).4p,v 3D*,3,5,7,,,L4687c119,
123.2253,0.0012,123.2263,0.0003,81152.2,510,1.3e+06,E,4560.789,85712.30,3d7.(4F).4s,a 5F,3,3d6.(5D).4s.4p,y 5P*,2,7,5,,T6999,L4687c119,
123.4353,0.0012,123.43420,0.00021,81014.1,510,2.0e+06,E,4028.988,85043.81,3d7.(4F).4s,a 5F,4,3d6.(5D).4s.4p,y 5P*,3,9,7,,T6999,L4687c119,
125.0804,0.0012,125.079738,0.000008,79948.6,480,,,18338.640,98287.640,3d7.(4P).4s,a 5P,1,3d7.(4F).5p,3F*,2,3,5,,,L4687c119,
125.8737,0.0009,125.87402,0.00005,79444.7,3200,,,4950.062,84394.573,3d7.(4F).4s,a 5F,2,3d7.(2F).4p,v 3D*,2,5,5,,,L4687c119,
126.2401,0.0012,126.23895,0.00005,79214.1,440,,,5204.698,84419.550,3d7.(4F).4s,a 5F,1,3d7.(2F).4p,v 3D*,1,3,3,,,L4687c119,
