obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
472.126,472.124+,21180.8,140,,,15773.77,36954.65,4f.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",3,4f.(2F*<7/2>).6p<1/2>,"(7/2,1/2)",3,7,7,,,L3475,
472.575,472.574+,21160.7,35,,,6227.42,27388.11,5d2,a 3P,2,5d.6p,y 3D*,2,5,5,,,L3475,
472.974,472.973+,21142.8,230,1.77e+06,B+,1394.46,22537.30,5d2,,2,4f.5d,z 3D*,3,5,7,,T7455,L3475,
474.161,474.160+,21089.9,500,5.3e+06,B+,1016.10,22106.02,5d2,a 3F,3,4f.5d,z 3D*,2,7,5,,T7455,L3475,
474.442,474.440+,21077.4,390,,,14375.17,35452.66,4f.(2F*<5/2>).6s<1/2>,"(5/2,1/2)*",3,4f.(2F*<5/2>).6p<1/2>,"(5/2,1/2)",3,7,7,,,L3475,
475.006,475.005+,21052.4,320,7.7e+06,B+,7473.32,28525.71,5d2,a 1G,4,4f.5d,z 1H*,5,9,11,,T7455,L3475,
479.803,479.802+,20841.9,28,8.3e+05,C+,7473.32,28315.25,5d2,a 1G,4,5d.6p,y 3D*,3,9,7,,T7455,L3475,
480.538,480.538+,20810.0,160,3.14e+06,B+,1895.15,22705.15,5d.6s,a 3D,1,4f.5d,z 3P*,1,3,3,,T7455,L3475,
481.035,481.034+,20788.5,160,1.15e+07,B+,1895.15,22683.70,5d.6s,a 3D,1,4f.5d,z 3P*,0,3,1,,T7455,L3475,
482.541,482.540+,20723.6,200,1.29e+07,B,5249.70,25973.37,5d2,a 3P,0,5d.6p,y 3D*,1,1,3,,T7455,L3475,
482.823,482.822+,20711.5,23,,,1394.46,22106.02,5d2,,2,4f.5d,z 3D*,2,5,5,,,L3475,
484.136,484.137+,20655.3,45,9.2e+05,C+,2591.60,23246.93,5d.6s,a 3D,2,4f.5d,z 3P*,2,5,5,,T7455,L3475,
485.194,485.196+,20610.3,45,,,6227.42,26837.66,5d2,a 3P,2,5d.6p,x 3F*,3,5,7,,,L3475,
486.227,486.225+,20566.5,320,3.69e+06,B+,1970.70,22537.30,5d2,a 3F,4,4f.5d,z 3D*,3,9,7,,T7455,L3475,
490.129,490.128+,20402.8,850,7.3e+06,B+,0.00,20402.82,5d2,a 3F,2,4f.5d,z 3G*,3,5,7,,T7455,L3475,
492.235,492.235+,20315.5,1000,8.0e+06,B+,1016.10,21331.60,5d2,a 3F,3,4f.5d,z 3G*,4,7,9,,T7455,L3475,
492.316,492.315+,20312.1,1000,8.8e+06,B+,1970.70,22282.90,5d2,a 3F,4,4f.5d,z 3G*,5,9,11,,T7455,L3475,
493.621,493.621+,20258.5,140,,,10094.86,30353.33,5d.6s,,2,4f.5d,y 1P*,1,5,3,,,L3475,
493.700,493.699+,20255.2,26,,,5718.12,25973.37,5d2,a 3P,1,5d.6p,y 3D*,1,3,3,,,L3475,
494.785,494.783+,20210.8,110,1.02e+06,B,1895.15,22106.02,5d.6s,a 3D,1,4f.5d,z 3D*,2,3,5,,T7455,L3475,
495.345,495.344+,20187.9,65,,,19214.54,39402.55,4f.5d,y 3F*,4,4f.(2F*<7/2>).6p<3/2>,"(7/2,3/2)",3,9,7,,,L3475,
497.178,497.177+,20113.5,340,6.3e+06,B+,2591.60,22705.15,5d.6s,a 3D,2,4f.5d,z 3P*,1,5,3,,T7455,L3475,
498.822,498.821+,20047.2,370,4.48e+06,B+,1394.46,21441.73,5d2,,2,4f.5d,z 3D*,1,5,3,,T7455,L3475,
499.267,499.268+,20029.4,140,6.9e+06,C+,7394.57,27423.91,6s2,a 1S,0,5d.6p,*,1,1,3,,T7455,L3475,
499.821,499.822+,20007.1,35,,,19214.54,39221.65,4f.5d,y 3F*,4,4f.(2F*<7/2>).6p<3/2>,"(7/2,3/2)",4,9,9,,,L3475,
500.086,500.086+,19996.5,720,9.0e+06,B+,3250.35,23246.93,5d.6s,a 3D,3,4f.5d,z 3P*,2,7,5,,T7455,L3475,
500.353,500.352+,19985.9,35,,,18235.56,38221.49,4f.5d,y 3F*,3,4f.(2F*<5/2>).6p<3/2>,"(5/2,3/2)",2,7,5,,,L3475,
504.945,504.943+,19804.1,26,,,19214.54,39018.74,4f.5d,y 3F*,4,4f.(2F*<7/2>).6p<3/2>,"(7/2,3/2)",5,9,11,,,L3475,
506.433,506.433+,19745.9,45,,,6227.42,25973.37,5d2,a 3P,2,5d.6p,y 3D*,1,5,3,,,L3475,
508.163,508.159+,19678.7,35h,,,15773.77,35452.66,4f.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",3,4f.(2F*<5/2>).6p<1/2>,"(5/2,1/2)",3,7,7,,,L3475,
511.599,511.598+,19546.6,470,8.0e+06,B+,1895.15,21441.73,5d.6s,a 3D,1,4f.5d,z 3D*,1,3,3,,T7455,L3475,
