obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
341.392,,29291.8,230,,,,,,,L3475,
342.640,,29185.1,230,,,,,,,L3475,
342.755,,29175.3,230,,,,,,,L3475,
343.368,,29123.2,180,,,,,,,L3475,
344.158,,29056.5,180,,,,,,,L3475,
348.056,,28731.0,200,,,,,,,L3475,
348.505,,28694.0,100,,,,,,,L3475,
351.126,,28479.8,200,,,,,,,L3475,
351.643,,28438.0,200,,,,,,,L3475,
351.868,,28419.8,200,,,,,,,L3475,
354.197,,28232.9,250,,,,,,,L3475,
362.054,,27620.2,300,,,,,,,L3475,
365.223,,27380.5,400,,,,,,,L3475,
366.065,,27317.5,200,,,,,,,L3475,
374.179,,26725.2,670,,,,,,,L3475,
381.994,,26178.4,210,,,,,,,L3475,
